index,original,single_agent_translation,single_agent_improved_translation
8,עוד צוין כי תועדו בתקופה האחרונה פחות מ-20 ברדלסים בשבעה מחוזות שונים במדינה.,It was also noted that fewer than 20 cheetahs have been recorded in the last period across seven different provinces in the country.,It was also noted that fewer than 20 cheetahs have been recorded recently across seven different provinces in the country.
21,"לפני כמה שבועות, קיבלתי הזדמנות ראשונית לנסות את המוצר החדש, שזמין כרגע רק לנסיינים בודדים בארה""ב, כאן בישראל.","A few weeks ago, I received an initial opportunity to try the new product, which is currently available only to a few testers in the USA, here in Israel.","A few weeks ago, here in Israel, I received an initial opportunity to try the new product, which is currently available only to a few testers in the USA."
23,"אחרי שבועיים של השתעשעות, הבנתי כיצד ה-Car Thing יכול להפוך בקלות לחלק בלתי נפרד מהמערכת של אנשים רבים.","After two weeks of experimenting, I realized how the Car Thing could easily become an integral part of many people's systems.","After two weeks of experimenting, I realized how the Car Thing could easily become an integral part of many people's systems."
26,"אי שם בשנת 2018, משתמשי ספוטיפיי החלו לקבל הצעה מעניינת בתיבת האימייל שלהם - אפשרות לרכוש מכשיר חדש עם שליטה קולית וחיבוריות דור רביעי, שיהפוך כל מערכת ישנה לרכב לחכמה.","Sometime in 2018, Spotify users began receiving an interesting offer in their email inboxes - the option to purchase a new device with voice control and 4G connectivity, which would turn any old car system into a smart one.","Sometime in 2018, Spotify users began receiving an interesting offer in their email inboxes: the option to purchase a new device with voice control and 4G connectivity, which would turn any old car system into a smart one."
56,"מסך הבית מוכר לכל המשתמשים באפליקציה, שכן כמו היישום בסמארטפון, הוא שם דגש על תמונות האלבומים ורשימות ההשמעה.","The home screen is familiar to all app users, as it, like the smartphone application, emphasizes album images and playlists.","The home screen is familiar to all app users, as, like the smartphone application, it emphasizes album images and playlists."
60,"באמצעותה, תוכלו להפעיל שירים, פלייליסטים, אלבומים ואפילו לחפש פודקאסטים.","With it, you can play songs, playlists, albums, and even search for podcasts.","With it, you can play songs, playlists, albums, and even search for podcasts."
72,"השאלה הזו מתחזקת בעת התחשבות בכך שמכשירי אייפון ואנדרואיד חזקים בהרבה מזה של ספוטיפיי, וברוב הפעמים יקנו למשתמש הרבה יותר פונקציונליות.","This question becomes more significant when considering that iPhone and Android devices are much more powerful than Spotify's, and most of the time will offer the user much more functionality.","This question becomes more significant when considering that iPhone and Android devices are much more powerful than Spotify's, and most of the time they will offer the user much more functionality."
96,זה לא סוד - שיתוף ומוכנות הארגון |,It's no secret - organizational sharing and readiness |,It's no secret - organizational sharing and readiness |
105,הסקרנות מקדמת |,Curiosity advances |,Curiosity drives progress.
114,"העלות הכלכלית בגין אי־סגירת התחנות הפחמיות במועד שנקבע ביוני 2022 מוערכת בכמיליארד שקלים עבור שנת 2022, כך חושף דו""ח של מרכז המחקר והמידע של הכנסת.","The economic cost of not closing the coal stations by the deadline set in June 2022 is estimated to be around one billion shekels for the year 2022, according to a report by the Knesset's Research and Information Center.","The economic cost of not closing the coal stations by the deadline set in June 2022 is estimated to be around one billion shekels for the year 2022, according to a report by the Knesset's Research and Information Center."
126,בכמה יתייקר התשלום על המשכנתא?,"""By how much will the mortgage payment increase?""",By how much will the mortgage payment increase?
132,"זאת, לאחר שבמשך שנים הריבית במשק היתה קרובה לאפס.","This, after interest rates in the economy were close to zero for years.","This, after interest rates in the economy had been close to zero for years."
137,בכמה התייקרה המשכנתא הממוצעת מתחילת השנה?,By how much has the average mortgage increased since the beginning of the year?,By how much has the average mortgage increased since the beginning of the year?
142,מסלול הריבית המשתנה צמודת מדד (26.7% במסלול הזה) ישלים התייקרות של כ־120 שקלים.,The variable interest rate track linked to the index (26.7% in this track) will result in an increase of approximately 120 shekels.,The variable interest rate track linked to the index (26.7% in this track) will result in an increase of approximately 120 shekels.
150,לגבי רוכשי דירות מקבלן - צרור ממליץ להקדים תשלומים לקבלן ולקחת משכנתא כעת.,"Regarding homebuyers purchasing from a contractor, Tzror recommends advancing payments to the contractor and taking out a mortgage now.","Regarding homebuyers purchasing from a contractor, Tzror recommends advancing payments to the contractor and taking out a mortgage now."
