index,reference,zero_shot_translation,improved_translation,single_agent_translation,bleu_zero_shot,bleu_improved,bleu_single_agent,meteor_zero_shot,meteor_improved,meteor_single_agent,bleurt_zero_shot,bleurt_improved,bleurt_single_agent,comet_zero_shot,comet_improved,comet_single_agent
1,Subsidized Tours - Club Tourism for Domestic Tourism Campaign!,Subsidy tours and prefectural discount trips with Club Tourism!,Join Club Tourism for subsidy tours and prefectural discount travel!,Enjoy subsidy tours and special resident discount trips with Club Tourism.,0.0494,0.1003,0.036,0.1111,0.2198,0.1087,0.5224,0.5229,0.5809,0.7799,0.7848,0.7526
2,We provide tours that take advantage of subsidies in each prefecture.,We introduce tours that utilize subsidies from each prefecture.,we present tours that make use of subsidies specific to each prefecture.,We introduce tours that utilize subsidies from every prefecture.,0.117,0.113,0.0572,0.4733,0.6757,0.3444,0.8156,0.8133,0.8005,0.9161,0.9237,0.9086
6,【Comparison Table】Pharmacist Job Search Websites - Recommendations With Comparison Table,[Comparison Table] Pharmacist Job Transfer Sites - Recommended Introductions in a List Comparison Table,[Comparison Table] Pharmacist Job Change Sites - Recommended Sites Compared in a Table,Comparison Table of Pharmacist Job Change Sites - Recommended Introductions in a Comparative List,0.0309,0.0332,0.0359,0.4288,0.3064,0.4288,0.6531,0.6361,0.6388,0.7887,0.8389,0.7512
7,《Latest 2022 Version》Pharmacist Job Search Website Rankings.,"""2022 Latest Edition: Pharmacist Job Change Site Rankings.""","""2022, Latest Edition: Pharmacist Job Portal Rankings.""","""2022 Latest Edition: Pharmacist Career Change Site Rankings.""",0.0428,0.0428,0.0399,0.0704,0.0714,0.0,0.6242,0.6491,0.6146,0.8649,0.85,0.8365
14,We also provide support for first-time freelancers who are worried about attracting customers or filing a tax return.,"We offer support for attracting clients and filing tax returns, addressing any concerns you may have as a first-time freelancer.",We offer support for attracting clients and filing tax returns to help with any concerns as a first-time freelancer.,We offer support for addressing concerns about attracting clients and filing tax returns as a first-time freelancer.,0.0268,0.0297,0.0384,0.2923,0.2939,0.3845,0.7729,0.7556,0.7659,0.8827,0.8817,0.9053
16,LUMIX Hair Removal Salon Referral Site - TOP 5 Ranking by Reservations,Lumix Hair Removal Salon Introduction Site - Top 5 in Reservation Rankings,LUMIX Hair Removal Salon Introduction Site - Top 5 Reservation Rankings,Lumix Depilation Salon Introduction Site: Top 5 Reservation Rankings,0.1109,0.2648,0.0227,0.8067,0.8134,0.3644,0.6958,0.7356,0.6007,0.8742,0.9001,0.8229
18,"Reservation sites for salons that use the fast, short, painless, heatless SHR method LUMIX hair removal","""Fast, short-term, painless, non-heating SHR method Lumix hair removal salon reservation site""","""Book your appointment at the LUMIX hair removal salon using the fast, short-term, painless, and non-heating SHR Method.""","""Quick and brief, painless, non-heating SHR method Lumix hair removal salon booking site""",0.0769,0.0917,0.0744,0.4808,0.5079,0.4283,0.6552,0.6893,0.6303,0.7891,0.8205,0.7878
19,Teeth Straightening From ￥1760/month - 【Official】We Smile Straightening,"Orthodontics starting at 1,760 yen per month - [Official] WeSmile Orthodontics","Orthodontic treatment available from 1,760 yen per month - 【Official】Wismile Orthodontics","Orthodontics starting at 1,760 yen per month - WeSmile Orthodontics",0.0155,0.0189,0.0211,0.0602,0.1205,0.061,0.4858,0.4571,0.4361,0.788,0.8098,0.7533
20,【Starting at ￥1760】We Smile teeth-straightening for an affordable start,"""Starting from 1,760 yen: If you're looking for an affordable option, choose WisSmile orthodontics.""","""Starting from ¥1,760, for an affordable option, consider Wissmile orthodontics.""","""Starting from 1,760 yen: If you're looking for an affordable option, choose WisSmile orthodontics.""",0.0477,0.0654,0.0477,0.3099,0.3236,0.3099,0.5487,0.5488,0.5487,0.8177,0.8206,0.8177
23,Now offering ￥1650 trial course.,"Now accepting applications for the 1,650 yen trial course.","Applications are now open for the trial course at 1,650 yen.","Now accepting applications for the ¥1,650 trial course.",0.1122,0.0399,0.1275,0.4733,0.1786,0.4822,0.7442,0.6921,0.7727,0.8978,0.8773,0.9147
25,"24 hour online reservations available, low-priced aligner teeth-straightening, ￥0 adjustments.",Accepting reservations 24 hours a day online. Affordable mouthpiece orthodontics with a 0 yen adjustment fee.,"We accept online reservations 24/7, offering affordable mouthpiece orthodontics with no adjustment fee.",Accepting reservations online 24 hours a day. Affordable mouthpiece orthodontics with no adjustment fee.,0.0153,0.0332,0.0174,0.2978,0.2481,0.3577,0.6003,0.5867,0.5578,0.7854,0.7683,0.775
29,For Real Estate Matters Use the Association - Kitami Real Estate Association,"""If it's about real estate, then the Allied Force - Kitami Real Estate Allied Force""","""When it comes to real estate, the Kitami Real Estate Union""","""For all your real estate needs, Kitami Real Estate Union.""",0.134,0.076,0.076,0.4573,0.3748,0.4102,0.4771,0.5451,0.6292,0.6108,0.6914,0.7497
