index,original,translated,locale_convention_annotation
1,助成金ツアー・県民割旅行ならクラブツーリズム！,"Club Tourism! Subsidy tour, prefectural discount travel.","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The emoji format in the target text does not match the source text."
2,各都道府県毎の助成を活用したツアーをご紹介。,"Here is the translation from Japanese to English:

We introduce tour packages that utilize subsidies from each prefecture.","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters ""&gt;"" cause them to be malformed."
6,【比較表】薬剤師転職サイト - 一覧比較表でおすすめ紹介,[Comparison Table] Pharmacist Job Posting Sites - Recommended Introduction with Comparison Table,"MQM annotations:
design and markup errors:
[Major]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters cause them to be malformed.
[Minor]: MARKUP TAG - The emoticon format has changed relative to the source text."
7,《2022年最新版》薬剤師転職サイトランキング。,The latest 2022 ranking of pharmacist job search websites.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The Japanese text ""《2022年最新版》"" contains angle brackets that are not properly escaped in the English translation."
14,初めてのフリーランスで不安な集客や確定申告サポートもご用意しています。,We offer support for anxious freelancers with client acquisition and tax filing for the first time.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The escaped HTML character `&gt;` contains an extra whitespace, making it malformed."
16,ルミクス脱毛のサロン紹介サイト - 予約数ランキングTOP5,Lumix Hair Removal Salon Introduction Site - Top 5 Reservation Ranking,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The emoji format in the target text does not match the source text."
18,早い 短期間 痛くない 熱くないSHR方式のルミクス脱毛サロン予約サイト,"Quick, short-term, painless, non-heating SHR method Lumix hair removal salon reservation site.","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The emoji format in the target text does not match the source text."
19,月々1760円からできる歯科矯正 - 【公式】ウィスマイル矯正,"Orthodontic treatment starting from 1,760 yen per month - [Official] Wismile Orthodontics","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The emoji format in the target text does not match the source text."
20,【1760円から】低価格ではじめるならウィスマイル矯正。,"Orthodontic treatment with Wismile starts at a low price of 1,760 yen.","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The escaped HTML character `【` is not properly formatted."
23,1650円のお試しコース受付中。,$16.50 trial course now available.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The currency symbol ""$"" is missing in the translation, which should be ""$16.50"" to match the source text."
25,WEBから24時間予約受付中・格安マウスピース矯正・調整料0円。,"24-hour online reservation available, affordable mouthpiece orthodontics, adjustment fee free.","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The emoji format in the target text does not match the source text."
29,不動産のことなら連合隊 - 北見不動産連合隊,Unified real estate team - Kitami real estate unified team.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The emoji format in the target text does not match the source text."
31,賃貸アパート、マンション、一戸建て。,"Rental apartment, condominium, detached house.","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The Japanese characters ""賃貸アパート、マンション、一戸建て"" are not properly formatted in the English translation."
33,地元に密着・写真は最大30枚・無料の物件査定も実施中。,"Local area-focused, up to 30 photos, and free property appraisals are currently available.","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The escaped HTML character ""&gt;"" is malformed due to the extra whitespace."
36,お急ぎ便が使い放題。,Same-day delivery is available unlimited.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The translation uses the square brackets `[ ]` to enclose the unlimited delivery icon, which is different from the source text format."
40,ポイントが貯まる・スマホアプリあり・数億種の品揃え。,"Point accumulation, smartphone app available, over hundreds of millions of product selection.","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The emoji format in the target text does not match the source text."
45,あの人気漫画を今こそ一気読み。,"That popular manga, now is the time to read it all at once.","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters `&gt;` cause them to be malformed."
46,全作品試し読みアリ・買うよりお得。,"All works available for sample reading, more affordable than buying.","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The escaped HTML character `&gt;` contains an extra whitespace, making it malformed."
50,クチコミ情報も満載です。,Word-of-mouth information is also full.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The target text contains a malformed HTML entity with extra whitespace: ""クチコミ情報も[満載]MARKUP TAG です。""."
51,タイムセールや限定プランも。,Time sale and limited plans.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The translation contains a malformed HTML entity with extra whitespace, e.g., ""Time sale and limited plans[& nbsp ;]MARKUP TAG""."
52,自宅で簡単予約・ビジネスホテルが充実・プラン充実・会員登録でポイント貯まる。,"Easy reservation at home, well-equipped business hotels, abundant plans, and accumulate points with membership registration.","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters `&gt;` cause them to be malformed."
54,端子台 貫通をこの価格で買える通販モノタロウ。,Terminal block through-hole can be purchased at the online store Monotaro at this price.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters `&gt;` cause them to be malformed."
56,端子台 貫通の通販。,Terminal block through-type online shopping.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The escaped HTML character `通販。` contains an extra whitespace, making it malformed."
59,紀伊御坊駅の格安ホテル - 【じゃらん】公式サイト,Affordable hotels near Kii-Gobo Station - Official site of [Jalan],"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The emoji format in the target text does not match the source text."
62,【紀伊御坊駅】のホテル・旅館を予約するならじゃらん。,"Here is the translation:

Book hotels and inns near Kii-Gobo Station on Jalan.","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The Japanese locale convention for the station name ""紀伊御坊駅"" is not preserved in the English translation, which uses the Romanized version ""Kii-Gobo Station"" instead."
63,じゃらん限定・格安プランも充実。,Abundant discounted plans exclusive to Jalan.,"Source Japanese: じゃらん限定・格安プランも充実。

Translation English: Abundant discounted plans exclusive to Jalan.

MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The translation does not contain any design or markup errors."
64,会員登録でポイント貯まる・当日予約OKの宿多数・お得なクーポン配布中。,"Many accommodations where you can accumulate points by registering as a member, accept same-day reservations, and distribute discount coupons.","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters `&gt;` cause them to be malformed."
65,入力簡単60秒で無料査定依頼 - 路線価・地価の相場を調べるなら,"Easy input, free appraisal request in 60 seconds - If you want to check the market price and land price.","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters cause them to be malformed."
66,マンション・土地・一戸建ての無料売却査定が可能。,"Possible free real estate appraisal for condominiums, land, and detached houses.","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The escaped HTML character `&gt;` contains an extra whitespace, making it malformed."
67,エリアから価格相場の把握ができます。,You can grasp the price range from the area.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The translation contains a whitespace inserted within the escaped HTML character `[& gt ;]`, which makes the markup tag malformed."
68,不動産売却のお悩みはプロが解決！,Real estate sale worries are solved by professionals!,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The Japanese emoji format ""!"" is different from the English exclamation mark in the source text."
71,マンションの売却・査定・最適な売却プランをご提案・売主様へ安心サポート。,"Proposal of the optimal sales plan, assessment, and sale of the condominium. Providing peace of mind support to the seller.","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters `&gt;` cause them to be malformed."
75,ダイキン エアコン お客様 センター見つけましょう。,Daikin air conditioning customer center.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The Japanese text ""ダイキン エアコン お客様 センター見つけましょう。"" is not enclosed in any markup tags, which may affect the visual presentation or formatting of the content."
78,来場予約キャンペーン実施中 - 都市型狭小3階建てモデルハウス,Come and visit campaign in progress - Urban compact 3-story model home.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters `&gt;` cause them to be malformed."
83,ITツールを駆使し業務コストを削減し、リーズナブルな価格でのサービス提供を実現,Utilizing IT tools to reduce business costs and realize the provision of services at reasonable prices.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters `&gt;` cause them to be malformed."
92,どうしても今すぐお金が必要 - 【厳選3社】即日キャッシング,I need money urgently right now.,"MQM annotations:
design and markup errors:
[Major]: MARKUP TAG - The escaped HTML character `【` is not properly formatted."
98,レストラン予約するなら一休.com、お店の口コミも掲載。,"Restaurant reservations can be made on Ikyu.com, which also features reviews of the establishments.","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The escaped HTML character `&gt;` contains an extra whitespace, making it malformed."
102,幸せウエディングを叶える情報満載／結婚式準備はゼクシィ。,"""Information-packed for realizing a happy wedding / Prepare for your wedding with Zexy.""","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The escaped HTML character ""&gt;"" in the target text contains an extra whitespace, making it malformed."
107,ゴールドカードはメリットばかり！,Gold card is all benefits!,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The translation contains an extra whitespace within the escaped HTML character for the emoji, making it malformed.

The translation is:
""Gold card is all benefits!"""
110,自宅用のホームルーターをお探しの方必見！,Home router for home use must-see!,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The escaped HTML character ""&gt;"" is malformed due to the extra whitespace."
112,置くだけで使えるWiFiも！,Plug-and-play WiFi too!,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The translation contains an extra whitespace within the escaped HTML character for the WiFi icon, making it malformed.

The translation is:
""Plug-and-play WiFi[ ]too!"""
115,蒲田イン ソーシャル- トリップアドバイザー,Kamata Inn Social - TripAdvisor,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The emoji format in the target text does not match the source text."
119,ショートが似合うか不安な方でもしっかりとカウンセリングして似合わせをいっしょに考えます。,"A person who is unsure if a short hairstyle would suit them can receive thorough counseling, and we will consider together what style would be most suitable.","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The Japanese emoticon ""ショート"" is not properly formatted in the English translation."
124,ロハコ限定、くらしになじむデザインが多数。,"Rohaco limited, many designs that fit into your lifestyle.","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The Japanese word ""ロハコ"" is not properly formatted in the English translation. It should be kept in its original Japanese form without any additional markup."
125,最短翌日お届け、PayPay決済対応。,"Next-day delivery, PayPay payment accepted.","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The emoji format in the target text does not match the source text."
127,都心へのマルチアクセスを叶えるタワーレジデンス。,A tower residence that provides multi-access to the city center.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The translation contains an extra whitespace within the escaped HTML character `&gt;`, making it malformed."
128,4路線利用できる‘目黒’駅に誕生。,"Meguro Station, where you can use 4 train lines, has been born.","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The Japanese character '駅' (station) is not properly formatted in the English translation."
129,野村不動産グループ×JR東日本グループ開発エリア【MEGURO MARC】の32階建タワー。,"Meguro Marc, a 32-story tower developed by the Nomura Real Estate Group and the JR East Japan Group.","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The emoji format in the target text does not match the source text."
132,続くから変われる、人生を変える英会話の力をあなたへ。,"Your life can change through the power of English conversation, because it continues to evolve.","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The emoji format in the target text does not match the source text."
136,クラウド電話を1内線200円から - 【公式】サテライトオフィス,Cloud phone from 200 yen per extension.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The escaped HTML character ""&#91;"" is malformed due to the inserted whitespace."
145,glovesdepoを探すなら、日本最大級通販ショップ楽天市場。,"Rakuten Ichiba, Japan's largest online shopping mall, is where you can find glovesdepot.","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters ""楽天市場"" cause them to be malformed."
148,目黒 恵比寿 五反田エリアで顧問弁護士をお探しなら目黒国際法律事務所。,"Meguro, Ebisu, and Gotanda area, if you are looking for a legal counsel, Meguro International Law Office.","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The Japanese locale convention for the address format is not followed in the English translation. The address components are not separated by the appropriate symbols (e.g., ""/"", "">"")."
