index,original,single_agent_translation,single_agent_improved_translation
1,助成金ツアー・県民割旅行ならクラブツーリズム！,Subsidy tours and prefectural discount trips with Club Tourism!,Enjoy subsidy tours and special resident discount trips with Club Tourism.
2,各都道府県毎の助成を活用したツアーをご紹介。,We introduce tours that utilize subsidies from each prefecture.,We introduce tours that utilize subsidies from every prefecture.
6,【比較表】薬剤師転職サイト - 一覧比較表でおすすめ紹介,[Comparison Table] Pharmacist Job Transfer Sites - Recommended Introductions in a List Comparison Table,Comparison Table of Pharmacist Job Change Sites - Recommended Introductions in a Comparative List
7,《2022年最新版》薬剤師転職サイトランキング。,"""2022 Latest Edition: Pharmacist Job Change Site Rankings.""","""2022 Latest Edition: Pharmacist Career Change Site Rankings."""
14,初めてのフリーランスで不安な集客や確定申告サポートもご用意しています。,"We offer support for attracting clients and filing tax returns, addressing any concerns you may have as a first-time freelancer.",We offer support for addressing concerns about attracting clients and filing tax returns as a first-time freelancer.
16,ルミクス脱毛のサロン紹介サイト - 予約数ランキングTOP5,Lumix Hair Removal Salon Introduction Site - Top 5 in Reservation Rankings,Lumix Depilation Salon Introduction Site: Top 5 Reservation Rankings
18,早い 短期間 痛くない 熱くないSHR方式のルミクス脱毛サロン予約サイト,"""Fast, short-term, painless, non-heating SHR method Lumix hair removal salon reservation site""","""Quick and brief, painless, non-heating SHR method Lumix hair removal salon booking site"""
19,月々1760円からできる歯科矯正 - 【公式】ウィスマイル矯正,"Orthodontics starting at 1,760 yen per month - [Official] WeSmile Orthodontics","Orthodontics starting at 1,760 yen per month - WeSmile Orthodontics"
20,【1760円から】低価格ではじめるならウィスマイル矯正。,"""Starting from 1,760 yen: If you're looking for an affordable option, choose WisSmile orthodontics.""","""Starting from 1,760 yen: If you're looking for an affordable option, choose WisSmile orthodontics."""
23,1650円のお試しコース受付中。,"Now accepting applications for the 1,650 yen trial course.","Now accepting applications for the ¥1,650 trial course."
25,WEBから24時間予約受付中・格安マウスピース矯正・調整料0円。,Accepting reservations 24 hours a day online. Affordable mouthpiece orthodontics with a 0 yen adjustment fee.,Accepting reservations online 24 hours a day. Affordable mouthpiece orthodontics with no adjustment fee.
29,不動産のことなら連合隊 - 北見不動産連合隊,"""If it's about real estate, then the Allied Force - Kitami Real Estate Allied Force""","""For all your real estate needs, Kitami Real Estate Union."""
31,賃貸アパート、マンション、一戸建て。,"Rental apartment, condominium, detached house.","Rental apartment, condominium, detached house."
33,地元に密着・写真は最大30枚・無料の物件査定も実施中。,"""Closely connected to the local area; up to 30 photos; free property assessments also available.""","""Deeply rooted in the local community; up to 30 photos; free property assessments also available."""
36,お急ぎ便が使い放題。,Unlimited use of express delivery.,Unlimited use of express delivery.
40,ポイントが貯まる・スマホアプリあり・数億種の品揃え。,"Points can be accumulated, a smartphone app is available, and there is a selection of hundreds of millions of products.","Points can be accumulated, a smartphone app is available, and there is a selection of billions of products."
45,あの人気漫画を今こそ一気読み。,Now is the time to binge-read that popular manga.,Now is the time to binge-read that popular manga.
46,全作品試し読みアリ・買うよりお得。,"""All works available for trial reading - more economical than buying.""","""All works available for trial reading - better value than buying."""
50,クチコミ情報も満載です。,"The translation of the Japanese sentence ""クチコミ情報も満載です。"" to English is: ""It is also full of reviews.""",It is also full of review information.
51,タイムセールや限定プランも。,"""Time sales and exclusive plans, too.""","""There are also time sales and exclusive plans available."""
52,自宅で簡単予約・ビジネスホテルが充実・プラン充実・会員登録でポイント貯まる。,Easily book from home - Business hotels are well-equipped - Comprehensive plans - Earn points by registering as a member.,"Easily book from home, well-equipped business hotels, comprehensive plans, earn points by registering as a member."
54,端子台 貫通をこの価格で買える通販モノタロウ。,"""MonotaRO, an online store where you can buy terminal blocks with through-holes at this price.""","MonotaRO, an online store where you can buy terminal blocks with through-holes at this price."
56,端子台 貫通の通販。,Terminal block through-hole online shopping.,Online shopping for terminal block pass-throughs.
59,紀伊御坊駅の格安ホテル - 【じゃらん】公式サイト,Budget Hotels Near Kii-Gobo Station - [Jalan] Official Website,Budget Hotels at Kii-Gobo Station [Jalan] Official Website
62,【紀伊御坊駅】のホテル・旅館を予約するならじゃらん。,"If you're looking to book hotels or inns near Kii-Gobo Station, try Jalan.","If you're looking to book hotels or inns associated with Kii-Gobo Station, consider using Jalan."
63,じゃらん限定・格安プランも充実。,Exclusive to Jalan: Affordable plans are also available.,Jalan offers a wide range of exclusive and affordable plans.
64,会員登録でポイント貯まる・当日予約OKの宿多数・お得なクーポン配布中。,"Earn points with membership registration, many accommodations available for same-day booking, and great coupons currently being distributed.","Earn points with membership registration, numerous accommodations available for same-day booking, and great coupons currently being distributed."
65,入力簡単60秒で無料査定依頼 - 路線価・地価の相場を調べるなら,"""Request a free appraisal in just 60 seconds - If you're looking to check the standard land prices and market values.""","""Request a free appraisal in just 60 seconds - Check the standard land prices and market values here."""
66,マンション・土地・一戸建ての無料売却査定が可能。,"Free sale assessments are available for apartments, land, and single-family homes.","Free sale assessments are available for apartments, land, and single-family homes."
67,エリアから価格相場の把握ができます。,"""You can grasp the price range from the area.""","""You can understand the price range from the area."""
68,不動産売却のお悩みはプロが解決！,"""Real estate sale concerns? Let the professionals solve them!""","""Real estate sale concerns? Let the professionals solve them!"""
71,マンションの売却・査定・最適な売却プランをご提案・売主様へ安心サポート。,"Sale and appraisal of apartments, proposal of the optimal sale plan, and reliable support for sellers.","Sale and appraisal of condominiums, proposal of the optimal sale plan, and reliable support for sellers."
75,ダイキン エアコン お客様 センター見つけましょう。,Let's find the Daikin Air Conditioner Customer Center.,Find the Daikin Air Conditioner Customer Center.
78,来場予約キャンペーン実施中 - 都市型狭小3階建てモデルハウス,Ongoing Visit Reservation Campaign - Urban Narrow Three-Story Model House,Ongoing Visit Reservation Campaign - Urban Narrow Three-Story Model House
83,ITツールを駆使し業務コストを削減し、リーズナブルな価格でのサービス提供を実現,Utilize IT tools to reduce operational costs and achieve the provision of services at a reasonable price.,Utilize IT tools to reduce operational costs and achieve the provision of services at a reasonable price.
92,どうしても今すぐお金が必要 - 【厳選3社】即日キャッシング,"""I really need money right now - [Carefully Selected 3 Companies] Same-Day Cash Advance""","""I really need money right now - Carefully Selected 3 Companies for Same-Day Cash Advance"""
98,レストラン予約するなら一休.com、お店の口コミも掲載。,"If you're making a restaurant reservation, try Ikkyu.com, which also features customer reviews.","If you're making a restaurant reservation, try Ikyu.com, which also features customer reviews."
102,幸せウエディングを叶える情報満載／結婚式準備はゼクシィ。,Information packed with everything you need for a happy wedding / Wedding preparations with Zexy.,Information to achieve a happy wedding and wedding preparations with Zexy.
107,ゴールドカードはメリットばかり！,"""The gold card has nothing but benefits!""",The gold card offers only benefits!
