index,reference,zero_shot_translation,improved_translation,single_agent_translation,bleu_zero_shot,bleu_improved,bleu_single_agent,meteor_zero_shot,meteor_improved,meteor_single_agent,bleurt_zero_shot,bleurt_improved,bleurt_single_agent,comet_zero_shot,comet_improved,comet_single_agent
6,"Competitions are individual while testing is by team, participants are athletes from teams of subjects of the Russian Federation, and men and women are placed together in age groups.","Individual competitions with team standings, athletes from teams of the constituent entities of the Russian Federation participate, in one age group - men, women.","Individual competitions with team standings, athletes of teams of the constituent entities of the Russian Federation participating, in one age group - men, women.","Individual competitions with team rankings, with athletes from Russian regional teams participating, for men and women in the same age group.",0.1724,0.1084,0.0456,0.3546,0.2907,0.3358,0.6006,0.5664,0.6189,0.7431,0.7279,0.7408
9,"There is no retesting of results for athletes who did not participate in the given competitions, and points for team testing are not counted.","The results are not transferred for athletes who did not participate in these competitions, and points for the team standings are not awarded.","The results are not transferred for athletes who did not participate in these competitions, and points are not awarded for the team standings.","The results are not recalculated for athletes who did not participate in these competitions, and no points are awarded for the team ranking.",0.4041,0.3647,0.3276,0.6518,0.6414,0.5862,0.6947,0.6945,0.7203,0.8093,0.8108,0.8143
14,"In the relay race, athletes may only participate for the team of a single territory.","In relay racing, athletes can only compete for a team from one territory.","In relay racing, athletes can only compete for a team from one territory.","In relay racing, athletes can only represent a team from a single region.",0.0435,0.0435,0.0424,0.2703,0.2703,0.324,0.7981,0.7981,0.7769,0.8598,0.8598,0.8594
23,"Official training is conducted in the competition arena on February 14 from 16:00 to 19:00. On competition days, it is conducted outside of competition times.",Official training on the competition arena on February 14 from 16:00 to 19:00. On competition days - outside of competition times.,"Official training on the competition arena will be held on February 14 from 16:00 to 19:00. On competition days, training will be outside of competition times.","Official training will be held at the competition venue on February 14 from 4:00 PM to 7:00 PM. On competition days, training will be outside of competition times.",0.6175,0.5719,0.3382,0.73,0.7501,0.6059,0.7483,0.8276,0.7913,0.785,0.8608,0.8268
26,SaI Koot will be located around the second bend near the section for shot-put.,The shot put sector will be located behind the second turn next to the shot put sector.,The Sai Koot is located behind the second turn next to the shot put sector.,"The shot put circle will be located behind the second bend, adjacent to the shot put area.",0.0731,0.0342,0.0911,0.4702,0.5319,0.3934,0.5364,0.6559,0.5755,0.5876,0.7555,0.6616
29,Participants are forbidden from exiting the competition area without the permission of a referee.,Leaving the competition venue without the referee's permission is prohibited.,Participants leaving the competition place without the referee's permission is prohibited.,Participants are prohibited from leaving the competition venue without the judge's permission.,0.0456,0.0474,0.0539,0.3279,0.3731,0.4599,0.7456,0.7972,0.8407,0.8406,0.847,0.8734
35,The competitions for 60m run and 60m hurdles take place in 3 rounds. Qualification for the subsequent round is determined after ballots are submitted.,"In the 60m run and the 60m hurdles, the competitions are held in 3 rounds, the advancement to the next round will be determined upon the completion of the registration.","The competitions in the 60m run and 60m hurdles are held in 3 rounds, with advancement to the next round determined upon the completion of registration.","The 60m dash and 60m hurdles competitions are held in 3 rounds, with advancement to the next round determined after the sign-up deadline.",0.0614,0.2033,0.0806,0.4082,0.5017,0.479,0.736,0.7694,0.7502,0.8,0.834,0.8182
39,"For jumps and javelin throws, qualifying competitions are held (if there are over 16 announced athletes), as are final competitions, which athletes must pass qualification to compete in.","In jumps and throws, qualifying (in case of more than 16 athletes entered) and final competitions are held, for participation in which it is necessary to qualify.","In jumping and throwing events, qualifying (in case of more than 16 entered athletes) and final competitions are held, for which qualification is required.","In jumps and throws, qualifying rounds and final competitions are held, for which participants must qualify.",0.0664,0.0515,0.0517,0.2645,0.1812,0.2371,0.6586,0.7055,0.6268,0.7557,0.7752,0.7123
57,The technical announcement of the chief panel of judges with the official team representatives will take place on February 14 at 18:00 in the conference hall of the Light-Athletic Football Complex CSKA.,Technical meeting of the GSK with official representatives of the teams will be held on February 14 at 6:00 PM in the conference hall of the LFK CSKA sports complex.,The technical meeting of the GSK with official team representatives will be held on February 14 at 6:00 PM in the conference hall of the LFK CSKA sports complex.,The technical meeting with the official team representatives will be held on February 14 at 18:00 in the conference hall of the LFK CSKA sports complex.,0.2578,0.3248,0.4654,0.5988,0.6022,0.632,0.591,0.5917,0.6827,0.7369,0.7317,0.7709
59,"Traditionally, the July issue is submitted while the Moscow Film Festival is underway, which is, of course, quite tragic — having to proofread columns when your heart is yearning for Chabrol.","The July issue is traditionally handed in during the Moscow Film Festival, and this, of course, is very sad: to proofread the pages when the soul yearns for Chabrol.","The July issue is traditionally completed during the Moscow Film Festival, which is of course very sad: proofreading the pages when one's heart is set on the festival.","The July issue is traditionally completed during the Moscow Film Festival, which is of course quite unfortunate - having to review the pages when one's heart is set on attending.",0.2081,0.144,0.1543,0.4561,0.3729,0.4337,0.6621,0.6153,0.621,0.6517,0.658,0.683
62,"In addition, in this issue we are publishing the first part of a fairly detailed guide to the work of Alfred Hitchcock. And here there's no need to advertise anything: it doesn't take a film buff to know the creator of Suspicion and Rope. Despite his outstanding credentials, our team — Tatyana Alishicheva, Boris Gleyzerov, Anna Golovnya, Nick De Semlin, Dan Jolie, Tamara Dondurey, Nikolai Karayev, Denis Korsakov, Maria Kuvshinova, Ivan Kulikov, Will Lawrence, Sergei Mezenov, Sergei Natapov, Ian Nathan, Kim Newman, Zaira Ozova, Nev Pierce, Aleksei Prostyakov, Serafima Skibyuk, Adam Smith, Mur Soboleva, Vasily Stepanov, Aleksandr Strelkov, Ollie Richards, Oleg Tischenkov, Alena Logunova, Chris Hewitt, Olga Ahakina, and London FBI agent Eveline Solt — suspect him of spying for the Russians and have decided to catch him, whatever it takes.","Here is the translation from Russian to English:

And this time we are also publishing the first part of a rather detailed guide to the work of Alfred Hitchcock, and here it is definitely not necessary to advertise anything specially, and it is clear to everyone that the author of ""Suspicion"" and ""Rope"" is our Tatyana Aleshicheva, Boris Gleizerov, Anna Golovnya, Nick De Semlin, Dan Jolin, Tamara Dondureyev, Nikolai Karaev, Denis Korsakov, Maria Kuvshinova, Ivan Kulikov, Will Lawrence, Sergey Mezenov, Sergey Natapov, Ian Nathan, Kim Newman, Zaira Ozova, Nev Pierce, Alexey Prostyakov, Serafima Skibuk, Adam Smith, Moor Soboleva, Vasily Stepanov, Alexander Strelkov, Olly Richards, Oleg Tishchenko, Alena Logunova, Chris Hewitt, Olga Shakina the London-based CIA agent Evelyn Salt, despite her brilliant service record, was suspected of spying for the Russians and decided to catch her at all costs.","Evelyn Salt, a London-based CIA agent, was suspected of spying for Russia despite her brilliant service record, and they decided to catch her at all costs.","This time, we are also publishing the first part of a detailed guide on the work of Alfred Hitchcock. No special promotion is needed, as it is clear that the authors of this guide are Tatyana Aleshicheva, Boris Gleizerov, Anna Golovnya, Nick De Semlin, Dan Jolin, Tamara Dondureyev, Nikolai Karaev, Denis Korsakov, Maria Kuvshinova, Ivan Kulikov, Will Lawrence, Sergey Mezenov, Sergey Natapov, Ian Nathan, Kim Newman, Zaira Ozova, Nev Pierce, Alexey Prostyakov, Serafima Skibuk, Adam Smith, Moor Soboleva, Vasily Stepanov, Alexander Strelkov, Olly Richards, Oleg Tishchenko, Alena Logunova, Chris Hewitt, and Olga Shakina. Despite her impressive record, the CIA agent Evelyn Salt was suspected of spying for Russia and was targeted for capture.",0.4088,0.0007,0.3699,0.6106,0.074,0.5425,0.5129,0.2887,0.5143,0.7527,0.4069,0.7785
63,"After being backed into a corner, she dresses in the black garb we're all familiar with and goes off to search out the truth.","Cornered, she will dye herself in the familiar black and go in search of the truth.","Cornered, she will dye herself in her familiar black and herself go in search of the truth.","Cornered, she will transform into her usual black attire and set out to uncover the truth.",0.0534,0.0495,0.0485,0.2517,0.2283,0.2517,0.5735,0.5136,0.6669,0.5719,0.5406,0.6922
66,"When Doestoevsky said ""Beauty will save the world,"" this is what he meant.","Beauty should save the world, roughly like that.","Beauty is meant to save the world, more or less in that way.",Beauty is what will save the world.,0.1444,0.1712,0.1434,0.15,0.1966,0.3903,0.5672,0.6302,0.6282,0.5795,0.5723,0.6497
67,"Her it is: our dear old world of The Fifth Element, blown apart and then restored, which made Milla Jovovich into the most fabulous woman in the universe.","Here he is, the native, who blew up and fixed the world with ""The Fifth Element"" and made Milla Jovovich the most beautiful woman in the universe.","The director, through his work on ""The Fifth Element,"" exploded and repaired the world, making Milla Jovovich the most beautiful woman in the universe.","Luc Besson, the director of ""The Fifth Element,"" made Milla Jovovich the most beautiful woman in the universe.",0.2081,0.2239,0.2307,0.4296,0.3662,0.4167,0.5628,0.5485,0.5009,0.6829,0.7108,0.6191
70,"It's best not to recall what Besson did in the 13 years between ""Element"" and ""Adèle.""","What Besson did for 13 years between ""The Element..."" and ""Adele..."" is not something he wants to remember.","What Besson did for 13 years between ""The Fifth Element"" and ""Adele"" is not something he wishes to recall.","Besson prefers not to recall what he did for 13 years between ""The Element..."" and ""Adele...""",0.1697,0.2477,0.2875,0.5079,0.5048,0.5859,0.6607,0.6311,0.7123,0.7605,0.7413,0.7835
71,"He kept busy, to put it lightly, but all of his busywork as a producer and scenarist, as well as his occasional appearances as a director, will be forgotten.","He, to put it mildly, was not idle, but all this scenario-producing hustle and rare, agonized directorial performances will be forgotten.","He was not idle, to put it lightly, but this scenario-producing hustle and rare, forced directorial performances will be forgotten.","He was actively engaged, but the hustle related to screenwriting and producing, as well as the rare, strained directorial work, will be forgotten.",0.1768,0.2391,0.1986,0.3051,0.3445,0.262,0.5556,0.5608,0.6231,0.6862,0.6551,0.7161
72,"Meanwhile, ""Adèle"" is not likely to be.","""Adele...""—hardly.","""But 'Adele...'—hardly.""","""However, 'Adele'... is doubtful.""",0.0234,0.0245,0.0286,0.0,0.0,0.0746,0.5256,0.4749,0.6498,0.5023,0.5212,0.6159
73,"Watching it, it seems as if over the past 13 years we haven't been seeing Besson, but rather some kind of double.","When you watch this movie, it seems that 13 years ago it was not our Besson, but some kind of double.","When one watches this movie, it seems that the Besson we knew 13 years ago is not the same person before us now.","Watching this film, it seems that the Besson we knew 13 years ago was not the same person, but rather a different version of him.",0.2439,0.0525,0.0731,0.4615,0.259,0.3715,0.6144,0.6007,0.6976,0.6994,0.6672,0.7021
76,The incredible drive of the film is contained in the fact that a surprise awaits you behind every turn and in every spoken response.,"Here, the incredible drive is that surprises await you around every corner or line.",The incredible thrill of this experience is that surprises await you around every turn or line.,The incredible excitement of this experience lies in the surprises that await you around every turn or line.,0.021,0.0263,0.0309,0.3333,0.3207,0.2935,0.5245,0.5817,0.5794,0.6233,0.7095,0.7638
77,And each one as just as wonderful as the last.,And they are all pleasant.,They are all pleasant.,And they are all quite pleasant.,0.0211,0.0162,0.0222,0.0526,0.0,0.0521,0.5622,0.5416,0.6192,0.5277,0.5154,0.5284
78,Whether it's a girl or a ghost,"A vision, or a girl.",It could be a girl or a vision.,"A girl, or perhaps a vision.",0.0797,0.2985,0.0366,0.3758,0.559,0.2174,0.3533,0.4765,0.4642,0.5533,0.7871,0.6883
84,"The director doesn't chase after the viewer with hand outstretched, begging them to appreciate the special effects, sets, or stunts, but is rather like a classical novelist calling out before a great adventure to the center of the Earth or to the edge of the world, ""Onward, reader, great things await us!""","The director does not run after the viewer with an outstretched hand, begging to appreciate the special effects, sets, or stunts, but rather draws them in, like an old-fashioned novelist, exclaiming before a great journey to the center of the earth or to the edge of the world: ""Forward, my reader, great deeds await us!""","The director does not chase after the viewer pleading to appreciate the special effects, sets, or stunts, but rather draws them in, like a classic novelist exclaiming before a grand journey to the center of the earth or to the edge of the world: ""Onward, my reader, great deeds await us!""","The director does not chase after the viewer, begging them to appreciate the special effects, sets, or stunts, but rather draws them in, like an old-fashioned storyteller exclaiming before a grand adventure: ""Forward, my friend, great deeds await us!""",0.4496,0.4753,0.3435,0.7178,0.7627,0.3621,0.7272,0.7473,0.6898,0.8266,0.8138,0.7962
85,"Besson navigates genre films (about which he knows absolutely everything) joyously and without ceremony, like a little boy raised on old films and Jules Verne.","At the same time, Besson deals with genre cinema, about which he knows absolutely everything, unceremoniously and cheerfully, like a boy who has watched old movies and read Jules Verne.","Besson approaches genre cinema, about which he knows absolutely everything, in an unceremonious and cheerful manner, like a boy who had watched old movies and read Jules Verne.","Besson approaches genre cinema, which he knows intimately, in an unrestrained and lighthearted manner, like a young person well-versed in old films and the works of Jules Verne.",0.2195,0.2411,0.0864,0.4761,0.4799,0.4737,0.6937,0.7296,0.7539,0.7761,0.8135,0.7644
86,"He plays with tropes, allows himself some cynicism, and isn't afraid of risks","Manipulating banalities, not denying oneself cynicism and not being ashamed of risk.","Manipulating banalities, not denying oneself cynicism, and not shying away from risk.","Dealing with commonplaces, not refraining from cynicism and not shying away from risk.",0.0175,0.0658,0.0175,0.0775,0.1453,0.0769,0.4358,0.4773,0.535,0.5984,0.5864,0.6832
