index,original,zero_shot_translation,improved_translation
1,助成金ツアー・県民割旅行ならクラブツーリズム！,Subsidy tours and prefectural discount trips with Club Tourism!,Join Club Tourism for subsidy tours and prefectural discount travel!
2,各都道府県毎の助成を活用したツアーをご紹介。,We introduce tours that utilize subsidies from each prefecture.,we present tours that make use of subsidies specific to each prefecture.
6,【比較表】薬剤師転職サイト - 一覧比較表でおすすめ紹介,[Comparison Table] Pharmacist Job Transfer Sites - Recommended Introductions in a List Comparison Table,[Comparison Table] Pharmacist Job Change Sites - Recommended Sites Compared in a Table
7,《2022年最新版》薬剤師転職サイトランキング。,"""2022 Latest Edition: Pharmacist Job Change Site Rankings.""","""2022, Latest Edition: Pharmacist Job Portal Rankings."""
14,初めてのフリーランスで不安な集客や確定申告サポートもご用意しています。,"We offer support for attracting clients and filing tax returns, addressing any concerns you may have as a first-time freelancer.",We offer support for attracting clients and filing tax returns to help with any concerns as a first-time freelancer.
16,ルミクス脱毛のサロン紹介サイト - 予約数ランキングTOP5,Lumix Hair Removal Salon Introduction Site - Top 5 in Reservation Rankings,LUMIX Hair Removal Salon Introduction Site - Top 5 Reservation Rankings
18,早い 短期間 痛くない 熱くないSHR方式のルミクス脱毛サロン予約サイト,"""Fast, short-term, painless, non-heating SHR method Lumix hair removal salon reservation site""","""Book your appointment at the LUMIX hair removal salon using the fast, short-term, painless, and non-heating SHR Method."""
19,月々1760円からできる歯科矯正 - 【公式】ウィスマイル矯正,"Orthodontics starting at 1,760 yen per month - [Official] WeSmile Orthodontics","Orthodontic treatment available from 1,760 yen per month - 【Official】Wismile Orthodontics"
20,【1760円から】低価格ではじめるならウィスマイル矯正。,"""Starting from 1,760 yen: If you're looking for an affordable option, choose WisSmile orthodontics.""","""Starting from ¥1,760, for an affordable option, consider Wissmile orthodontics."""
23,1650円のお試しコース受付中。,"Now accepting applications for the 1,650 yen trial course.","Applications are now open for the trial course at 1,650 yen."
25,WEBから24時間予約受付中・格安マウスピース矯正・調整料0円。,Accepting reservations 24 hours a day online. Affordable mouthpiece orthodontics with a 0 yen adjustment fee.,"We accept online reservations 24/7, offering affordable mouthpiece orthodontics with no adjustment fee."
29,不動産のことなら連合隊 - 北見不動産連合隊,"""If it's about real estate, then the Allied Force - Kitami Real Estate Allied Force""","""When it comes to real estate, the Kitami Real Estate Union"""
31,賃貸アパート、マンション、一戸建て。,"Rental apartment, condominium, detached house.","Rental apartments, apartments, and detached houses."
