index,reference,zero_shot_translation,improved_translation,single_agent_translation,bleu_zero_shot,bleu_improved,bleu_single_agent,meteor_zero_shot,meteor_improved,meteor_single_agent,bleurt_zero_shot,bleurt_improved,bleurt_single_agent,comet_zero_shot,comet_improved,comet_single_agent
0,Diego Cocca will become the new national team trainer for Mexico,Diego Cocca becomes the new national coach of Mexico.,Diego Cocca has been appointed as the new national team coach of Mexico.,Diego Cocca will become the new national coach of Mexico.,0.1244,0.2197,0.59,0.5453,0.5258,0.6413,0.8367,0.8318,0.8529,0.9175,0.883,0.9291
3,"Franko Stein (Environmental Services, left) and Friedhelm Ringe (Nature and Biodiversity Conservation Union) place the plant signs in the beds in the pedestrian zone.","Franko Stein (FD Umwelt, left) and Friedhelm Ringe (Nabu) are setting up the plant signs in the flower beds of the pedestrian zone.","Frankenstein (FD Umwelt, left) and Friedhelm Ringe (Nabu) are setting up the plant signs in the flower beds of the pedestrian zone.","Franko Stein (FD Environment, left) and Friedhelm Ringe (Nature and Biodiversity Conservation Union) are setting up the plant signs in the flower beds of the pedestrian zone.",0.4388,0.4032,0.5921,0.5877,0.5101,0.8403,0.5802,0.5131,0.7183,0.7476,0.7104,0.8504
6,"Explanatory plaques about the plants are put in place to ensure that the endeavor gains enough momentum to impact private gardens, instead of remaining a campaign limited to environmental activists and the municipal specialized environmental services. There are approximately 50 signs to date. This way, passers-by can learn about what beautiful plants are currently in bloom. The hope is for hobby gardeners to specifically plant them at home.","So that the undertaking is not just an action of nature conservationists and the environmental service of the city, but also reaches wide circles into private gardens, explanatory panels on the plants are set up again and again. There are about 50 signs so far. Passers-by should be able to inform themselves in this way about what is blooming so beautifully here. The hope is that hobby gardeners will deliberately replant at home.","The undertaking is not just an action of nature conservationists and the city's environmental service, but also reaches wide circles into private gardens, with explanatory panels on the plants set up again and again. There are approximately 50 signs so far. Passersby can inform themselves in this way about what is currently in bloom. The hope is that hobby gardeners will deliberately replant at home.","The undertaking aims to reach beyond just nature conservationists and the city's Environmental Service, inspiring hobby gardeners in private homes to replant the beautiful blooms. Informative signs have been placed around the area, allowing passersby to learn about the local flora. The hope is that these home gardeners will be motivated to cultivate the same plants in their own gardens.",0.0975,0.2076,0.0617,0.3639,0.4152,0.253,0.6202,0.637,0.5896,0.7617,0.7882,0.7956
7,Common hazel already came into season in the first week of January,"In the first week of January, the wild hazelnut season had already started.",The wild hazelnut season started in the first week of January.,In der ersten Kalenderwoche des Januars begann bereits die Saison der Wildhäsel.,0.2676,0.4336,0.0,0.5217,0.5651,0.0417,0.6176,0.6259,0.2702,0.8264,0.8367,0.5676
8,"Recently, shrubs such as winter honeysuckle and arrowwood have been placed in the beds in the pedestrian zone. They have been in the soil of the containers found on Bergedorer Straße for the past year, and although they do not yet have leaves, the first delicate white and pink blossoms have appeared, and were recently furnished with a new sign. ""The winter honeysuckle is a very broadly bushy shrub and may grow up to two meters tall and three meters wide,"" among other information, can be found on the sign, which has been put in a suitable location for reading.","Newer in date are shrubs like winter-scented honeysuckle and winter snowball in the flower beds of the pedestrian zone. They have been in the soil of the planters on Bergedorer Strasse for about a year now, showing their first delicate white and pink blossoms leaflessly, and have recently been provided with additional signs. ""The winter-scented honeysuckle is a very wide-growing shrub and can reach a height of two meters and a width of three meters,"" it says there among further information about the suitable location.","The shrubs of winter-flowering cherry and winter viburnum in the flower beds of the pedestrian zone are more recent additions. They have been planted in the planters on Bergedorer Strasse for about a year now and are now showing their first delicate white and pink blossoms without leaves. These plants have recently been labeled with additional signs, which note that ""the winter-flowering cherry is a very wide-growing shrub that can reach a height of two meters and a width of three meters.""","The winter-scented honeysuckle and winter snowball are newer additions to the flower beds in the pedestrian zone. They have been planted in the planters on the street for about a year now, currently displaying their first delicate white and pink blossoms without leaves, and have recently been labeled with additional information. The winter-scented honeysuckle is a very wide-growing shrub that can reach a height of 2 m and a width of 3 m.",0.2256,0.1174,0.1609,0.3787,0.272,0.316,0.5216,0.497,0.4842,0.7885,0.8001,0.7608
9,"Friedhelm Ringe emphasizes that not only the plants in the beds are now in bloom. Common hazel came into season during the first week of January. It is particularly abundantly in bloom on the steep hill on Richtweg, on Gutenbergstraße, Wilhelm-Holert-Straße, Fahrendofer Weg, and in numerous hedgerows.","Friedhelm Ringe emphasizes that not only the bed plants are now showing flowers. In the first week of January, the wild hazel was already in season. It blooms particularly luxuriantly on the Richtweg at the slope, in the Gutenbergstraße, Wilhelm-Holert-Straße, Fahrendofer Weg and many hedgerows.","Friedhelm Ringe emphasizes that not only the flower beds are now showing blooms. In the first week of January, the wild hazel was already in bloom, flowering particularly luxuriantly on Richtweg at the slope, as well as on Gutenbergstraße, Wilhelm-Holert-Straße, Fahrendofer Weg, and many hedges.","The wild hazel is already in bloom, flowering particularly luxuriantly along the path, on Gutenbergstraße, Wilhelm-Holert-Straße, Fahrendofer Weg, and in many thickets, as Friedhelm Ringe emphasizes.",0.3226,0.3737,0.2044,0.5461,0.5684,0.3401,0.6658,0.6548,0.4914,0.8276,0.8251,0.657
12,"That is where three women meet for vigorous tap dancing at 3 pm on the dot at the ""Mandolin Motion Show Academy"" - unbelievably, their combined age is 277 years old, or should I say young!","Every Monday at exactly 3 o'clock, three ladies meet at the ""Mandolin Motion Show Academy"" for a lively tap dance - together they are an incredible 277 years old, pardon, young!","Every Monday at exactly 3 o'clock, three ladies meet at the ""Mandolin Motion Show Academy"" for a lively tap dance - together they are an incredible 277 years young!","Every Monday at exactly 3 o'clock, three ladies meet at the ""Mandolin Motion Show Akademie"" for a lively tap dance - together they are an incredible 277 years young!",0.2626,0.2137,0.1576,0.4636,0.4326,0.3979,0.6998,0.688,0.6593,0.7764,0.7894,0.7662
13,"The oldest of them is Ernestine Stauchner, who recently celebrated her 102nd birthday.","Ernestine Stauchner, the oldest of them, recently celebrated her 102nd birthday.","Ernestine Stauchner, the oldest of the group, recently celebrated her 102nd birthday.","Ernestine Stauchner, who is the oldest among them, recently celebrated her 102nd birthday.",0.4966,0.448,0.4889,0.7707,0.7504,0.8258,0.8444,0.8091,0.8194,0.9169,0.9016,0.9283
14,"Monday is THE highlight of the week for the native Munichite (15 January 1921) from Schwanthalerhöhe. ""Dancing and tap dancing is my life, I can't imagine it without them.""","For the native Münchner (born January 15, 1921) from the Schwanthaler Höh"", Monday is THE highlight of the week. ""Dancing and tapping is my life, I can't imagine without it"".","For the native Münchner woman (born January 15, 1921) from Schwanthaler Höh, Monday has been the highlight of her week. ""Dancing and tapping is my life, I can't imagine life without it.""","For the native Münchnerin (born January 15, 1921) from the Schwanthaler Höh, Monday is the highlight of her week. ""Dancing and tap dancing is my life, I can't imagine living without it.""",0.4292,0.3058,0.4242,0.6947,0.6258,0.742,0.6976,0.716,0.7349,0.7637,0.7923,0.8251
17,"At 79 years old, Elfriede Widmann is the spring chicken among these tap dancing women. ""We simply have fun here with our dance teacher, Sissy Engl,"" she says.","""At 79 years old, Elfriede Widmann is something of a chick in the circle of tap dancers. She says: 'We're just having fun with our dance teacher Sissy Engl.'""","At 79 years old, Elfriede Widmann is the youngest among the group of tap dancers. She says, ""We're simply having fun with our dance teacher Sissy Engl.""","At 79 years old, Elfriede Widmann is the youngest among the group of tap dancers. She says: ""We're simply enjoying ourselves with our dance teacher Sissy Engl.""",0.2926,0.3611,0.354,0.5067,0.6168,0.5376,0.7046,0.7219,0.7102,0.7685,0.8401,0.8229
