index,original,zero_shot_translation,reference_translation
1,助成金ツアー・県民割旅行ならクラブツーリズム！,Club Tourism for subsidized tours and prefectural resident discount travel!,Subsidized Tours - Club Tourism for Domestic Tourism Campaign!
2,各都道府県毎の助成を活用したツアーをご紹介。,Introducing tours that utilize subsidies from each prefecture.,We provide tours that take advantage of subsidies in each prefecture.
6,【比較表】薬剤師転職サイト - 一覧比較表でおすすめ紹介,Pharmacist Job Change Sites Comparison Table - Recommended Introduction with a List Comparison Table,【Comparison Table】Pharmacist Job Search Websites - Recommendations With Comparison Table
7,《2022年最新版》薬剤師転職サイトランキング。,(2022 Latest Edition) Pharmacist Job Change/転職 Site Ranking.,《Latest 2022 Version》Pharmacist Job Search Website Rankings.
14,初めてのフリーランスで不安な集客や確定申告サポートもご用意しています。,"We offer support for attracting clients and filing taxes, which can be anxieties for first-time freelancers.",We also provide support for first-time freelancers who are worried about attracting customers or filing a tax return.
16,ルミクス脱毛のサロン紹介サイト - 予約数ランキングTOP5,Lumix hair removal salon introduction site - Top 5 in booking ranking,LUMIX Hair Removal Salon Referral Site - TOP 5 Ranking by Reservations
18,早い 短期間 痛くない 熱くないSHR方式のルミクス脱毛サロン予約サイト,"LUMIX hair removal salon reservation site using the fast, short-term, painless, and not-hot SHR method.","Reservation sites for salons that use the fast, short, painless, heatless SHR method LUMIX hair removal"
19,月々1760円からできる歯科矯正 - 【公式】ウィスマイル矯正,"Orthodontics from ¥1,760 per month - [Official] Wismile Orthodontics",Teeth Straightening From ￥1760/month - 【Official】We Smile Straightening
20,【1760円から】低価格ではじめるならウィスマイル矯正。,Starting from ¥1760 - Wismile Orthodontics if you're looking to start at a low price.,【Starting at ￥1760】We Smile teeth-straightening for an affordable start
23,1650円のお試しコース受付中。,Trial course available for 1650 yen.,Now offering ￥1650 trial course.
25,WEBから24時間予約受付中・格安マウスピース矯正・調整料0円。,24-hour online booking available. Affordable aligner treatment. No adjustment fees.,"24 hour online reservations available, low-priced aligner teeth-straightening, ￥0 adjustments."
29,不動産のことなら連合隊 - 北見不動産連合隊,"For real estate matters, it's Rengoutai - Kitami Real Estate Rengoutai.",For Real Estate Matters Use the Association - Kitami Real Estate Association
31,賃貸アパート、マンション、一戸建て。,"Rental apartments, condominiums, and detached houses.","Rental apartments, apartment complexes, detached houses."
33,地元に密着・写真は最大30枚・無料の物件査定も実施中。,Locally focused - Up to 30 photos - Free property valuation available.,"Local-oriented, up to 30 pictures, also currently offering free property appraisals."
36,お急ぎ便が使い放題。,Unlimited access to express delivery.,Unlimited express delivery.
40,ポイントが貯まる・スマホアプリあり・数億種の品揃え。,"Earn points, has a smartphone app, and offers hundreds of millions of products.","Earn points, smartphone app available, hundreds of millions of products."
45,あの人気漫画を今こそ一気読み。,Now is the perfect time to binge-read that popular manga.,Now is the time to read that popular manga in one go.
46,全作品試し読みアリ・買うよりお得。,Try before you buy with full previews - more value than buying!,"Free trial available for all titles, better value than buying."
50,クチコミ情報も満載です。,It's packed with word-of-mouth information.,Also full of informative reviews.
51,タイムセールや限定プランも。,"Also, time-limited sales and exclusive plans.",Limited time sale and exclusive plans also available.
52,自宅で簡単予約・ビジネスホテルが充実・プラン充実・会員登録でポイント貯まる。,"Easy booking from home, extensive selection of business hotels, wide variety of plans, earn points with membership registration.","Reserve easily from home, wide range of business hotels, wide variety of plans, earn points by registering to become a member."
54,端子台 貫通をこの価格で買える通販モノタロウ。,Terminal blocks (feed-through) available for purchase at this price on MonotaRO online store.,You can buy feed-through terminal blocks at these prices through the Monotaro site.
56,端子台 貫通の通販。,"Terminal block, feed-through type, online shopping.",Online shopping for feed-through terminal blocks.
59,紀伊御坊駅の格安ホテル - 【じゃらん】公式サイト,Budget Hotels near Kii-Gobo Station - [Jalan] Official Website,Budget Hotels at Kii-Gobo Station 【Jalan】Official Site
62,【紀伊御坊駅】のホテル・旅館を予約するならじゃらん。,"If you're booking a hotel or ryokan near Kii-Gobo Station, use Jalan.",Jalan for hotel or ryokan reservations near【Kii-Gobo Station】
63,じゃらん限定・格安プランも充実。,Jalan exclusive - Plenty of affordable plans available!,Wide range of Jalan-exclusive and discount plans also available.
64,会員登録でポイント貯まる・当日予約OKの宿多数・お得なクーポン配布中。,"Earn points with membership registration, many hotels offer same-day booking, and special coupons are available.","Earn points by registering as a member, many accommodations that accept same-day reservation, special coupons available."
65,入力簡単60秒で無料査定依頼 - 路線価・地価の相場を調べるなら,"Easy Input, Free Appraisal Request in 60 Seconds - If you want to check route values and land price market rates.",Request a free appraisal in 60 seconds with easy input - for market prices of roadside land and land prices
66,マンション・土地・一戸建ての無料売却査定が可能。,"Free appraisal for selling your apartment, land, or detached house is available.","We can appraise apartment buildings, land, and detached houses for free."
67,エリアから価格相場の把握ができます。,You can get an idea of price ranges from the area.,You can grasp average market prices by area.
68,不動産売却のお悩みはプロが解決！,Real estate sale troubles? Let a pro solve them!,Professionals will solve your real estate sales concerns!
71,マンションの売却・査定・最適な売却プランをご提案・売主様へ安心サポート。,"Sale of apartments, appraisal, proposal of optimal sales plan, and reliable support for sellers.","We offer plan proposals for selling apartment buildings, appraisals, optimal sale, and reliable support for sellers."
