index,reference,zero_shot_translation,improved_translation,single_agent_translation,bleu_zero_shot,bleu_improved,bleu_single_agent,meteor_zero_shot,meteor_improved,meteor_single_agent,bleurt_zero_shot,bleurt_improved,bleurt_single_agent,comet_zero_shot,comet_improved,comet_single_agent
1,Subsidized Tours - Club Tourism for Domestic Tourism Campaign!,"Club Tourism! Subsidy tour, prefectural discount travel.",Club Tourism offers subsidized tours and discounted prefectural travel packages.,Travel Club! Subsidized tours and regional discount travel.,0.0494,0.0399,0.0278,0.0568,0.3468,0.2107,0.4469,0.5139,0.4912,0.7421,0.7467,0.761
2,We provide tours that take advantage of subsidies in each prefecture.,"Here is the translation from Japanese to English:

We introduce tour packages that utilize subsidies from each prefecture.",We introduce tours that utilize subsidies from each prefecture.,We present tour packages that take advantage of subsidies offered by each prefecture.,0.0567,0.117,0.3662,0.3644,0.4733,0.7683,0.7579,0.8156,0.8393,0.7931,0.9161,0.9365
6,【Comparison Table】Pharmacist Job Search Websites - Recommendations With Comparison Table,[Comparison Table] Pharmacist Job Posting Sites - Recommended Introduction with Comparison Table,[Comparison Table] Recommended Comparison of Pharmacist Job Posting Sites,Recommended Pharmacist Job Sites - Comparison Table,0.0359,0.0441,0.0541,0.5515,0.1515,0.3835,0.7267,0.7066,0.6737,0.8569,0.8693,0.8227
7,《Latest 2022 Version》Pharmacist Job Search Website Rankings.,The latest 2022 ranking of pharmacist job search websites.,The latest 2022 version of the pharmacist job search website ranking.,2022 Ranking of Top Pharmacist Job Search Websites,0.0251,0.0203,0.065,0.3549,0.5068,0.5282,0.6464,0.6865,0.6412,0.8135,0.839,0.8471
14,We also provide support for first-time freelancers who are worried about attracting customers or filing a tax return.,We offer support for anxious freelancers with client acquisition and tax filing for the first time.,We offer support for new freelancers who are anxious about finding clients and filing their taxes.,"We provide support for first-time freelancers, including assistance with client outreach and tax return filing.",0.0296,0.0737,0.2393,0.1685,0.3946,0.3178,0.6816,0.7934,0.7781,0.8636,0.8973,0.8807
16,LUMIX Hair Removal Salon Referral Site - TOP 5 Ranking by Reservations,Lumix Hair Removal Salon Introduction Site - Top 5 Reservation Ranking,Lumix Hair Removal Salon Introduction Site - Top 5 Ranking of Reservation Numbers,Top 5 Most Booked ルミクス Hair Removal Salons,0.1165,0.113,0.0394,0.8134,0.8153,0.4172,0.6931,0.7314,0.5439,0.8728,0.8702,0.746
18,"Reservation sites for salons that use the fast, short, painless, heatless SHR method LUMIX hair removal","Quick, short-term, painless, non-heating SHR method Lumix hair removal salon reservation site.","The Lumix hair removal salon offers a quick, short-term, painless, and non-heating SHR method for hair removal.",ルミクスの短期間・無痛・低温SHR脱毛サロンの予約サイト,0.0767,0.0708,0.0,0.4808,0.3627,0.0,0.6568,0.6018,0.4044,0.772,0.8198,0.5855
19,Teeth Straightening From ￥1760/month - 【Official】We Smile Straightening,"Orthodontic treatment starting from 1,760 yen per month - [Official] Wismile Orthodontics","Orthodontic treatment available from 1,760 yen per month - [Official] Wissmile Orthodontics","Orthodontic treatment starting from ¥1,760 per month - [Official] ウィスマイル Orthodontics",0.0143,0.0143,0.0155,0.119,0.119,0.1205,0.4681,0.4539,0.3683,0.7808,0.7886,0.8014
20,【Starting at ￥1760】We Smile teeth-straightening for an affordable start,"Orthodontic treatment with Wismile starts at a low price of 1,760 yen.","Wismile orthodontic treatment starts at 1,760 yen.","Wismile orthodontic treatment starts at just ¥1,760.",0.0155,0.0245,0.0245,0.1075,0.1136,0.1136,0.4765,0.4664,0.4694,0.7883,0.7347,0.7985
23,Now offering ￥1650 trial course.,$16.50 trial course now available.,"A 1,650 yen trial course is now available.","1,650円のお試しコースを受け付けております。",0.0773,0.0561,0.0,0.2,0.1887,0.0,0.6979,0.774,0.4681,0.9222,0.9235,0.8746
