index,original,zero_shot_translation,improved_translation
2,"To me, this is a pretty big assumption because it is only creating the viewport using a Direct3D object, not a Direct3D3 object.","对我来说,这是一个相当大的假设,因为它只使用了Direct3D对象,而不是Direct3D3对象来创建视口。","对我来说,这是一个相当大的假设,因为它只使用了Direct3D对象来创建视口,而不是更高级的Direct3D 3对象。"
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.","一些事实,例如关于亚原子粒子的事实,只能通过实验来获得,而这些实验本身只有在资本主义体系下才能进行,因为它们需要太多的资源、太多的组织和太多的强制手段才能完成。","一些事实,比如关于亚原子粒子的事实,只有在资本主义体制下才能通过实验获得,因为这需要大量的资源、组织和强制手段。"
14,Picking this up this weekend.,这个周末拿到它。,我会在这个周末拿到它。
15,I was looking for a good first car guy car; and I really love the 80s aesthetic.,我正在寻找一辆好的初级汽车;我真的很喜欢80年代的美学。,"我正在寻找一辆有80年代风格的初级汽车,这正是我的心仪之选。"
19,I know they're not fast compared,我知道他们相比之下不快。,我知道他们的速度并不太快。
20,#Venting into the Fediverse time.,#向联邦宇宙发泄时间。,向联邦宇宙发泄情绪。
21,The Domestic Partner and I went to the liquor store tonight for some beers and a bottle of bub.,我和同居伴侣今晚去了酒店买了一些啤酒和一瓶起泡酒。,我和同居伴侣今晚去了酒类商店买了一些啤酒和一瓶起泡酒。
22,"When we went to check out, the cashier is a fairly obvious #trans woman.","当我们去结账时,收银员显然是一位跨性别女性。","当我们去结账时,收银员看起来是一位变性人。"
25,And then we just... paid for our stuff.,然后我们就...付了钱。,然后我们就付了我们的物品费用。
28,The smile of relief on her face was a great feeling but the fact that she was scared first FUCKING SUCKS AND I HATE IT.,"她脸上的解脱微笑是一种很好的感觉,但她先前感到害怕的事实真他妈的糟糕,我讨厌它。","她脸上的宽慰微笑让人感到很好,但她先前感到害怕的事实实在太糟糕了,我真的很讨厌。"
29,This is the stupidest timeline and I hate it dot com.,"这是最愚蠢的时间线,我讨厌它。","这是最愚蠢的时间线,我讨厌这个网站。"
32,But he can't pardon himself out of state prison.,但是他不能赦免自己脱离州监狱。,他无法获得赦免从州监狱出狱。
33,It takes the state's governor.,州长需要。,州长需要处理此事。
43,"We suggest that context-dependent communication is a situated multilayered phenomenon, crucially influenced by environment properties such as distribution of contexts.","我们建议,依情境而定的交流是一种多层面的现象,受环境特性(如情境分布)的关键影响。","我们认为,依情境而定的交流是一种多层面的现象,其关键受环境属性(如情境分布)的影响。"
47,Communities gain the knowledge to embed and support their own development.,社区获得嵌入和支持自身发展的知识。,社区掌握了融入和支持自身发展的知识。
50,Thousands of trees have been established and farmers have seen increased crop yields through a range of interventions from support with equipment purchases to training.,"通过各种干预措施,从设备购买支持到培训,已经建立了数千棵树,农民看到了作物产量的增加。","农民通过购买农具和接受培训等支持措施,种植了数千棵树,并看到了农产品产量的增加。"
53,The UPS store near me won't allow me to write a label or write on the box.,附近的UPS商店不允许我在标签或箱子上写字。,附近的 UPS 商店不允许我在包裹上写字。
55,They won't allow me to tell them the address it's going to and who is shipping it.,他们不会允许我告诉他们它要去的地址和谁在发货。,他们不会允许我透露发货的地址和发货人。
59,"It was an outrage, like a symbolic Jan 6 anti-democratic festivus of lies & grievance, self-destructively hosted by American media.","这是一种愤怒的行为,就像一个象征性的1月6日反民主狂欢节,充满谎言和不满,由美国媒体自毁性地主办。","这是一场令人愤怒的事件,就像是一次象征性的1月6日反民主集会,充满谎言和不满情绪,由美国媒体自我毁灭性地主办。"
61,Licht AGREED to an all Republican audience!,同意,李特同意在全共和党观众面前发表讲话。
64,The ratings--seeking delusional irresponsibility of it all.,收视率追求的妄想不负责任。,"对于这种追求收视率的妄想行为,实在是不负责任。"
66,"I have a very drafty basement, which essentially means I can get a lot of rodents taking refuge.","我有一个非常通风的地下室,这实际上意味着我可能会有很多啮齿动物来寻求庇护。","我的地下室通风很差,这意味着会有很多老鼠来躲藏。"
69,"I finally got fed up with this routine last night, cleaned all the traps of peanut butter, and superglued a pistachio to them.","我昨晚终于对这个日常感到厌烦,清理了所有陷阱上的花生酱,并在上面粘上了一颗开心果。","我昨晚终于厌烦了这个习惯,清理了所有陷阱上的花生酱,并在上面粘上了一颗开心果。"
71,"(fwiw, I've tried nearly every ""humane"" trap on the market with very little success.","对不起,我无法提供任何额外的文本。以下是您要求的翻译:

(fwiw, 我几乎尝试了市面上所有的""人道""捕捉器,但成功率很低。","我几乎尝试了市面上所有的""人道捕捉器"",但成果甚微。"
73,I'm tired of conservative parties and governments wrapping themselves in the brand of pro-business.,我厌倦了保守党和政府将自己包装成亲商的品牌。,我厌倦了保守派政党和政府将自己包装成支持企业的形象。
74,"They aren't, at least not in Alberta.","他们不是,至少在阿尔伯塔省不是。",他们在阿尔伯塔省并非如此。
75,Sure they cut business taxes.,他们确实降低了企业税率。,他们降低了企业税。
78,"Discovered the hard way that in 2023, local TV station web sites are the absolute worst experience on the internet.","2023年,发现本地电视台网站是互联网上最糟糕的体验,这是一个艰难的教训。","在2023年,发现本地电视台网站是互联网上最糟糕的体验。"
79,"Popups, auto-play videos, animations, popovers, and ads, ads, ads.",弹窗、自动播放视频、动画、弹出窗口和广告、广告、广告。,弹窗、自动播放视频、动画、弹出框和广告轰炸。
81,"This is true even now that goatse.cx is gone, though it would be a close race to the bottom between goatse and, say, khou.com, where I tried to watch a video the Wendy sent me.","即使现在 goatse.cx 已经不存在了,这仍然是真的,不过 goatse 和 khou.com 之间的竞争可能会很激烈,我曾试图在 khou.com 上观看温迪发给我的视频。","即使现在那个网站已经不存在了,但它和某些其他网站之间的竞争可能会很激烈,比如我曾试图在某个网站上观看朋友发给我的视频。"
84,"""I'm just dropping him off in Glasgow,"" I attempted to explain, gesturing at my traveling companion.",我只是把他送到格拉斯哥。,"我只是要把他送到格拉斯哥,我试图解释道。"
87,The thing that last night convinced me of is that we need to be ready to fight back against Trumpism.,昨晚让我深信我们需要准备好与特朗普主义抗争。,"昨晚让我深信我们需要做好准备,与特朗普主义思潮抗争。"
94,Get some bumper stickers that are anti-Trump and plaster them all over.,贴一些反特朗普的汽车贴纸到处张贴。,获取一些反特朗普的汽车贴纸并贴遍各处。
95,Yell back at those who would try to talk over us.,对那些试图压制我们声音的人大声回应。,"对那些试图压制我们声音的人,大声反驳。"
99,So I rushed to get into my apt to avoid him but he still managed to catch up to me to chat.,"所以我急忙回到公寓想避开他,但他还是设法追上我聊天。","我急忙回到公寓想避开他,但他还是设法追上我聊了起来。"
102,I repeat. It is not socially acceptable to spread your covid mucus storm everywhere!!!,我重复一遍。到处传播你的新冠病毒粘液风暴是不可接受的社会行为!!!,不要到处喷洒新冠病毒粘液!这种行为是不可接受的。
104,Abe keeps his sorrows hidden and laughs easily while Tom is not afraid to cry but is less amused by rude humor.,"阿部把他的悲伤隐藏起来,很容易笑,而汤姆不怕哭泣,但对粗俗的幽默不太感兴趣。","亚伯隐藏内心的悲伤,却很容易发笑,而汤姆不害怕流泪,但对粗俗的幽默不太感兴趣。"
106,Mio knows that sorrow is life's constant companion.,"缪知道,悲伤是生命永恒的伴侣。","缪知道,悲伤是生命永恒的陪伴。"
108,#CNN needs to just close down.,#CNN需要关闭。,中国有线电视新闻网应该关闭。
109,Yesterday's fiasco with #MangoMoron was an outrageous fiasco.,昨天与#MangoMoron的灾难性事件是一场令人发指的灾难。,昨天发生的#MangoMoron事件是一场彻底的失败。
115,"Geeky student Arnie Cunningham falls for Christine, a rusty 1958 Plymouth Fury, and becomes obsessed with restoring the classic automobile to her former glory.","书呆子学生阿尼·坎宁安迷恋上了一辆1958年普利茅斯·富瑞的旧车,并沉迷于将这辆经典汽车修复到昔日的辉煌。","书呆子阿尼·坎宁安迷恋上了一辆1958年的破旧普利茅斯·富瑞,并沉迷于修复这辆经典汽车。"
116,"As the car changes, so does Arnie, whose newfound confidence turns to arrogance behind the wheel of his exotic beauty.","随着汽车的变化,阿尼也发生了变化,他新发现的自信在驾驶他那辆异域美车时变成了傲慢。","阿尼驾驶他那辆异域美车时,新发现的自信变成了傲慢。"
123,One of the craziest parts about my neighbors turning against me is thinking about how much effort it takes to be hostile.,"我邻居反对我,这其中最疯狂的部分就是想到要付出多大的努力才能表现出敌意。","我邻居对我产生了敌意,这其中最疯狂的部分就是想到要付出多大的努力才能变得如此。"
126,It hurts but you gotta do you.,痛苦但你必须做你自己。,"即使痛苦,也要坚持做自己。"
127,But at this point the open hostility and violence is getting worse.,"但在这一点上,公开的敌意和暴力正在变得更加严重。",公开的敌对态度和暴力行为正在恶化。
128,That takes effort.,那需要努力。,这需要付出努力。
132,They had keys to my apartment for 6+ years.,他们有我公寓的钥匙超过6年。,他们已经拥有我公寓的钥匙超过6年了。
134,I am aware of your hatred of Organa.,我知道你对奥加纳的仇恨。,我知道你对奥加纳的仇恨。
142,The Last of Us is an easy and canonical example of dad-ification.,最后的我们是父亲化的简单和典范例子。,《最后生还者》是父性化的典型和简单例子。
144,"Dad-ification usually posits that the solution to a situation where a parent figure must care for or protect a child or child stand-in is overwhelming strength, and using that strength to force a very specifically shaped power dynamic.","父亲化通常认为,当一个父母角色必须照顾或保护一个孩子或孩子替代品的情况下,解决方案是压倒性的力量,并利用这种力量来强制一个非常特定形状的权力动态。","父亲化通常认为,当一个家长必须照顾或保护孩子时,解决方案是采取压倒性的力量,并利用这种力量来强制实施特定形式的权力动态。"
149,- We provide links to where you can book the fare.,我们提供预订车票的链接。,我们为您提供预订车票的链接。
151,- More details are in the full blog post.,更多详情请见完整博客文章。,完整博客文章有更多详情。
159,Over time dart became my go-to for quick UI.,"随着时间的推移,Dart 成为了我快速开发 UI 的首选。","随着时间的推移,Dart 逐渐成为了我快速开发 UI 的首选。"
160,"#flutter is a pleasure to work with, and they have #mobx for easy store management.","#flutter 是一种很棒的工作体验,他们有 #mobx 来轻松管理数据仓库。","#Flutter 是一种很棒的工作体验,他们提供了 #MobX 来轻松管理数据仓库。"
164,Echidna with amethyst and magenta spikes.,紫晶和品红色刺的针鼹,紫色和品红色刺的针鼹
167,"Their hair is raspberry, short and curly.","他们的头发是树莓色的,短而卷曲。","他们的头发是红色的,短而卷曲。"
169,Their most interesting feature is their good deeds.,他们最有趣的特点是他们的善行。,他们最引人注目的特点是他们的善举。
172,"Despite the best efforts of Bram Stoker, Max Schreck, and Stephenie Meyer in trying to make them look bad - everyone ...","即使布拉姆·斯托克、马克斯·施雷克和斯蒂芬妮·梅耶尽了最大努力让他们看起来很糟糕,每个人都...","即使布拉姆·斯托克、马克斯·施雷克和斯蒂芬妮·梅耶尽了最大努力让吸血鬼形象看起来很糟糕,但每个人都..."
177,"Need to translate it to Mandarin and/or Hokkien, neither of which I know at all.","我需要翻译成中文普通话和/或福建话,我完全不懂这两种语言。","我需要翻译成普通话和/或福建话,因为我完全不会这两种语言。"
179,Been toying with this thought for a little while:,我一直在思考这个想法一段时间了。,我一直在玩味这个想法有一段时间了。
182,Because it happens in the mind and seems less tangible than physical health.,心理健康,"因为心理健康难以捉摸,比起身体健康更不那么有形。"
189,"My sex is non-binary, my gender is female.","我的性别是非二元性别,我的性别认同是女性。","我的生理性别是非二元的,但我的性别认同是女性。"
193,Like krauty moods and other worldly pop music and radiophonic workshop and all sorts.,"像泡菜心情和其他世俗流行音乐,以及电台工作室等各种。",像其他世俗流行音乐和广播工作室等各种音乐。
196,Playing around a bit with Flutter.,玩玩 Flutter。,探索 Flutter 的功能。
197,"I'd hate to base my business on tech from Google, to be honest, on the other hand Google is one of the few big players with real incentives to create a compelling cross platform experience and it shows.","我不想以谷歌的技术为基础来经营我的业务,说实话。另一方面,谷歌是为数不多的大公司之一,它有真正的动力去创造一个引人入胜的跨平台体验,这一点很明显。","我不想依赖谷歌的技术来经营我的业务,但另一方面,谷歌是为数不多的大公司之一,它确实有动力去创造出优秀的跨平台体验。"
203,A few very small difficulties have come to light.,一些非常小的困难浮现出来。,出现了几个微小的困难。
204,Nothing to set alarm bells ringing but nevertheless they are being addressed.,"没有引起警报的必要,但仍在解决这些问题。","没有引起警铃的必要,但这些问题正在得到解决。"
205,A small update will be produced next week to correct them.,下周将生产一个小更新来纠正它们。,下周将推出一个小更新来修正这些问题。
209,I don't know exactly know why my brain can't figure it out; it might be that the tools are just so broad and vague that my brain just hardlocks due to 'too many options'.,"我不确切知道为什么我的大脑无法解决这个问题;可能是因为工具太广泛和模糊,以至于我的大脑因""选择太多""而陷入僵局。","我不知道为什么我的大脑就是无法解决这个问题;可能是因为这些工具太广泛和模糊,以至于我的大脑因'选择太多'而陷入僵局。"
217,"There's... no way that would work, probably!","那根本行不通,可能!","那肯定行不通的,可能!"
219,I was a voracious reader in my youth.,我年轻时是个贪婪的读者。,我年轻时是个狂热的读者。
228,"But if Spotify has a good quarter, they will.","但如果 Spotify 有一个好的季度,他们就会。","如果 Spotify 有一个好的季度,他们也将表现出色。"
230,Let them rehabilitate the hollowed out and decaying cities across the country. Again.,让他们修复遍布全国的空心化和衰败的城市。,让他们重建遍布全国的破败城市。
235,These headlines and articles usually reference one CEO at one large company.,这些标题和文章通常只提及一家大公司的一位CEO。,这些标题和文章通常只提及一家大公司的一位总裁。
236,It's all clickbait but it does worry me about the executives and managers who read these articles.,"这些都是点击诱饵,但这确实让我担心那些阅读这些文章的高管和经理。",这些标题党内容确实让我担心那些阅读这些文章的管理层。
242,It enables people to avoid lengthy commutes that take time away from their day and their families.,"它使人们能够避免耗费时间的长途通勤,从而有更多时间与家人在一起。","它使人们能够避免耗费大量时间的通勤,从而有更多时间陪伴家人。"
247,"""This is a war between the pro-humans and anti-humans,"" he said.","""这是人类支持者和反人类之间的战争,""他说。","""这是支持人类和反人类之间的战争,""他说。"
249,He also argues that NDP and progressives want to depopulate society for the sake of the environment.,他还认为，新民主党和进步派想要为了环境的缘故而减少人口。,他们还认为，新民主党和进步人士想要为了环境的缘故而减少社会人口。
252,Whenever May would pop up I dreaded trying to celebrate my bday.,"每当五月来临,我就害怕庆祝我的生日。","每年五月到来时,我都不愿意庆祝自己的生日。"
258,Winter is 30 days away in this little part of the Great Southern World.,冬季距离这个大南方世界的这个小部分还有30天。,冬季还有30天就到来了。
