index,ranking,maats,zero_shot,single_agent
0,"maats,zero_shot,single_agent","对我来说,这是一个相当大的假设,因为它只使用了Direct3D对象来创建视口,而不是更高级的Direct3D 3对象。","对我来说,这是一个相当大的假设,因为它只使用了Direct3D对象,而不是Direct3D3对象来创建视口。","对我来说,这是一个相当大的假设,因为它只使用了Direct3D对象而不是Direct3D3对象来创建视口。"
1,"zero_shot,single_agent,maats","一些事实,比如关于亚原子粒子的事实,只有在资本主义体制下才能通过实验获得,因为这需要大量的资源、组织和强制手段。","一些事实,例如关于亚原子粒子的事实,只能通过实验来获得,而这些实验本身只有在资本主义体系下才能进行,因为它们需要太多的资源、太多的组织和太多的强制手段才能完成。","一些事实,例如关于亚原子粒子的事实,只能通过实验来获得,而这些实验本身只有在资本主义环境下才能进行,因为它们需要太多的资源、太多的组织和太多的强制手段才能完成。"
2,"single_agent,maats,zero_shot",我会在这个周末拿到它。,这个周末拿到它。,这个周末我会去拿它。
3,"single_agent,zero_shot,maats","我正在寻找一辆有80年代风格的初级汽车,这正是我的心仪之选。",我正在寻找一辆好的初级汽车;我真的很喜欢80年代的美学。,我正在寻找一辆适合初次购车者的好车;我真的很喜欢80年代的车型设计。
4,"maats,single_agent,zero_shot",我知道他们的速度并不太快。,我知道他们相比之下不快。,他们的速度并不快。
5,"single_agent,maats,zero_shot",向联邦宇宙发泄情绪。,#向联邦宇宙发泄时间。,#在联邦社交网络上发表自己的想法。
6,"single_agent,maats,zero_shot",我和同居伴侣今晚去了酒类商店买了一些啤酒和一瓶起泡酒。,我和同居伴侣今晚去了酒店买了一些啤酒和一瓶起泡酒。,我和同居伴侣今晚去了酒类商店买了一些啤酒和一瓶起泡酒。
7,"maats,single_agent,zero_shot","当我们去结账时,收银员看起来是一位变性人。","当我们去结账时,收银员显然是一位跨性别女性。","当我们去结账时,收银员明显是一位跨性别女性。"
8,"zero_shot,single_agent,maats",然后我们就付了我们的物品费用。,然后我们就...付了钱。,然后我们就付了我们的钱。
9,"single_agent,maats,zero_shot","她脸上的宽慰微笑让人感到很好,但她先前感到害怕的事实实在太糟糕了,我真的很讨厌。","她脸上的解脱微笑是一种很好的感觉,但她先前感到害怕的事实真他妈的糟糕,我讨厌它。","她脸上的解脱微笑虽然很好,但她先前的恐惧真让人感到沮丧,我真的很讨厌这种感觉。"
10,"single_agent,maats,zero_shot","这是最愚蠢的时间线,我讨厌这个网站。","这是最愚蠢的时间线,我讨厌它。","这个时间线真是太蠢了,我真讨厌它。"
11,"maats,single_agent,zero_shot",他无法获得赦免从州监狱出狱。,但是他不能赦免自己脱离州监狱。,但是他无法自行获得州监狱的赦免。
12,"single_agent,maats,zero_shot",州长需要处理此事。,州长需要。,州长负责此事。
13,"maats,single_agent,zero_shot","我们认为,依情境而定的交流是一种多层面的现象,其关键受环境属性(如情境分布)的影响。","我们建议,依情境而定的交流是一种多层面的现象,受环境特性(如情境分布)的关键影响。","我们认为,情境相关的交流是一种位于特定环境中的多层现象,受诸如情境分布等环境特性的关键影响。"
14,"maats,single_agent,zero_shot",社区掌握了融入和支持自身发展的知识。,社区获得嵌入和支持自身发展的知识。,社区获得知识来融入和支持自身发展。
15,"maats,zero_shot,single_agent","农民通过购买农具和接受培训等支持措施,种植了数千棵树,并看到了农产品产量的增加。","通过各种干预措施,从设备购买支持到培训,已经建立了数千棵树,农民看到了作物产量的增加。","通过各种支持措施,从设备购买援助到培训,已经建立了数千棵树,农民看到了作物产量的增加。"
16,"single_agent,zero_shot,maats",附近的 UPS 商店不允许我在包裹上写字。,附近的UPS商店不允许我在标签或箱子上写字。,附近的UPS商店不允许我在标签或包裹上写字。
17,"maats,single_agent,zero_shot",他们不会允许我透露发货的地址和发货人。,他们不会允许我告诉他们它要去的地址和谁在发货。,他们不允许我告诉他们这个货物要发往哪里以及是谁在发货。
18,"single_agent,zero_shot,maats","这是一场令人愤怒的事件,就像是一次象征性的1月6日反民主集会,充满谎言和不满情绪,由美国媒体自我毁灭性地主办。","这是一种愤怒的行为,就像一个象征性的1月6日反民主狂欢节,充满谎言和不满,由美国媒体自毁性地主办。","这是一场象征性的、充满谎言和不满的反民主狂欢,就像1月6日事件,由美国媒体自毁性地主办。"
19,"maats,single_agent,zero_shot",李特同意在全共和党观众面前发表讲话。,同意,光(Licht)同意在全共和党观众面前发表讲话。
20,"maats,single_agent,zero_shot","对于这种追求收视率的妄想行为,实在是不负责任。",收视率追求的妄想不负责任。,追求收视率的妄想和不负责任。
21,"zero_shot,single_agent,maats","我的地下室通风很差,这意味着会有很多老鼠来躲藏。","我有一个非常通风的地下室,这实际上意味着我可能会有很多啮齿动物来寻求庇护。","我有一个非常通风的地下室,这实际上意味着我可能会有很多小型哺乳动物来寻求庇护。"
