index,original,single_agent_translation,single_agent_improved_translation
1,助成金ツアー・県民割旅行ならクラブツーリズム！,Club Tourism for subsidized tours and prefectural resident discount travel!,Club Tourism: Subsidized tours and travel deals for prefectural residents!
2,各都道府県毎の助成を活用したツアーをご紹介。,Introducing tours that utilize subsidies from each prefecture.,Introducing tours that leverage subsidies available in each prefecture.
6,【比較表】薬剤師転職サイト - 一覧比較表でおすすめ紹介,Pharmacist Job Change Sites Comparison Table - Recommended Introduction with a List Comparison Table,Pharmacist Job Search Sites Comparison Table: Our Recommendations
7,《2022年最新版》薬剤師転職サイトランキング。,(2022 Latest Edition) Pharmacist Job Change/転職 Site Ranking.,(2022 Latest Edition) Pharmacist Job Search Site Ranking.
14,初めてのフリーランスで不安な集客や確定申告サポートもご用意しています。,"We offer support for attracting clients and filing taxes, which can be anxieties for first-time freelancers.","We also offer support for attracting clients and filing tax returns, addressing common concerns for first-time freelancers."
16,ルミクス脱毛のサロン紹介サイト - 予約数ランキングTOP5,Lumix hair removal salon introduction site - Top 5 in booking ranking,Lumix Hair Removal Salon Introduction Site - Top 5 Booking Rankings
18,早い 短期間 痛くない 熱くないSHR方式のルミクス脱毛サロン予約サイト,"LUMIX hair removal salon reservation site using the fast, short-term, painless, and not-hot SHR method.","LUMIX hair removal salon reservation site using the fast, short-term, painless, and cool SHR method."
19,月々1760円からできる歯科矯正 - 【公式】ウィスマイル矯正,"Orthodontics from ¥1,760 per month - [Official] Wismile Orthodontics","Orthodontic treatment from ¥1,760 per month - [Official] WisSmile Orthodontics"
20,【1760円から】低価格ではじめるならウィスマイル矯正。,Starting from ¥1760 - Wismile Orthodontics if you're looking to start at a low price.,Starting from JPY 1760 - Wismile Orthodontics if you're looking to start at a low price.
23,1650円のお試しコース受付中。,Trial course available for 1650 yen.,Trial course available for ¥1650.
25,WEBから24時間予約受付中・格安マウスピース矯正・調整料0円。,24-hour online booking available. Affordable aligner treatment. No adjustment fees.,"24-hour online booking, affordable aligner treatment, and no adjustment fees."
29,不動産のことなら連合隊 - 北見不動産連合隊,"For real estate matters, it's Rengoutai - Kitami Real Estate Rengoutai.","If it's real estate, it's the Rengoutai - Kitami Real Estate Rengoutai."
31,賃貸アパート、マンション、一戸建て。,"Rental apartments, condominiums, and detached houses.","Rental apartments, condos, and detached houses."
33,地元に密着・写真は最大30枚・無料の物件査定も実施中。,Locally focused - Up to 30 photos - Free property valuation available.,"Locally focused, up to 30 photos, and free property valuation available."
36,お急ぎ便が使い放題。,Unlimited access to express delivery.,Unlimited free express delivery.
40,ポイントが貯まる・スマホアプリあり・数億種の品揃え。,"Earn points, has a smartphone app, and offers hundreds of millions of products.","Earn points, use our smartphone app, and choose from hundreds of millions of products."
45,あの人気漫画を今こそ一気読み。,Now is the perfect time to binge-read that popular manga.,Now is the perfect time to binge-read that popular manga.
46,全作品試し読みアリ・買うよりお得。,Try before you buy with full previews - more value than buying!,Try full previews of all works - more value than buying!
50,クチコミ情報も満載です。,It's packed with word-of-mouth information.,It also includes plenty of user reviews.
51,タイムセールや限定プランも。,"Also, time-limited sales and exclusive plans.",Time-limited sales and exclusive plans are also available.
52,自宅で簡単予約・ビジネスホテルが充実・プラン充実・会員登録でポイント貯まる。,"Easy booking from home, extensive selection of business hotels, wide variety of plans, earn points with membership registration.","Easy booking from home, a wide selection of business hotels, a variety of plans, and earn points with membership registration."
54,端子台 貫通をこの価格で買える通販モノタロウ。,Terminal blocks (feed-through) available for purchase at this price on MonotaRO online store.,Terminal blocks (feed-through) available at this price on MonotaRO online store.
56,端子台 貫通の通販。,"Terminal block, feed-through type, online shopping.","Terminal block, feed-through, available online."
59,紀伊御坊駅の格安ホテル - 【じゃらん】公式サイト,Budget Hotels near Kii-Gobo Station - [Jalan] Official Website,Budget Hotels near Kii-Gobo Station - Jalan Official Website
62,【紀伊御坊駅】のホテル・旅館を予約するならじゃらん。,"If you're booking a hotel or ryokan near Kii-Gobo Station, use Jalan.","If you're looking to book a hotel or ryokan near Kii-Gobo Station, use Jalan."
63,じゃらん限定・格安プランも充実。,Jalan exclusive - Plenty of affordable plans available!,Jalan-exclusive deals and budget-friendly plans are also available.
64,会員登録でポイント貯まる・当日予約OKの宿多数・お得なクーポン配布中。,"Earn points with membership registration, many hotels offer same-day booking, and special coupons are available.","Earn points when you register for membership, with many hotels offering same-day booking and special coupons available."
65,入力簡単60秒で無料査定依頼 - 路線価・地価の相場を調べるなら,"Easy Input, Free Appraisal Request in 60 Seconds - If you want to check route values and land price market rates.","Easy Input, Free Appraisal Request in 60 Seconds - If you are looking to check route values and land price market rates."
66,マンション・土地・一戸建ての無料売却査定が可能。,"Free appraisal for selling your apartment, land, or detached house is available.","Free sales appraisals are available for apartments, land, and detached houses."
67,エリアから価格相場の把握ができます。,You can get an idea of price ranges from the area.,You can get an overview of price ranges in the area.
