index,original,zero_shot_translation,improved_translation
2,"To me, this is a pretty big assumption because it is only creating the viewport using a Direct3D object, not a Direct3D3 object.",对我来说，这是一个相当大的假设，因为它只是使用 Direct3D 对象创建视口，而不是 Direct3D3 对象。,对我来说，这是一个相当大的假设，因为它只是使用 Direct3D 对象创建视口，而不是使用 Direct3D3 对象。
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.",一些事实，例如关于亚原子粒子的事实，只能通过实验得出，而这些实验本身只有在资本主义中才有可能，因为它们需要太多的资源、太多的组织、太多的强制，否则无法实现。,一些事实，例如关于亚原子粒子的事实，只能通过实验得出，而这些实验只有在资本主义制度下才可能实现，因为它们需要大量的资源、组织和强制手段，否则无法实现。
14,Picking this up this weekend.,这个周末去拿。,这个周末去拿这个。
15,I was looking for a good first car guy car; and I really love the 80s aesthetic.,我在寻找一辆好的第一辆车，而且我真的很喜欢80年代的美学。,我在寻找一辆适合车迷的新手车，而且我真的很喜欢80年代风格。
19,I know they're not fast compared,我知道它们相比之下不快。,我知道他们与其他相比速度不快，
20,#Venting into the Fediverse time.,#在联邦宇宙中发泄时间。,#在Fediverse上发泄一下
21,The Domestic Partner and I went to the liquor store tonight for some beers and a bottle of bub.,我和伴侣今晚去酒铺买了一些啤酒和一瓶香槟。,我和对象今晚去酒铺买啤酒和一瓶起泡酒。
22,"When we went to check out, the cashier is a fairly obvious #trans woman.",当我们去结账时，收银员显然是一位跨性别女性。,当我们去结账时，收银员看起来是一位相当明显的跨性别女性。
25,And then we just... paid for our stuff.,然后我们就……付了钱。,然后我们就……付了我们东西的钱。
28,The smile of relief on her face was a great feeling but the fact that she was scared first FUCKING SUCKS AND I HATE IT.,她脸上如释重负的微笑是一种很棒的感觉，但她一开始感到害怕真是太糟糕了，我讨厌这种感觉。,她脸上如释重负的微笑让人感觉很棒，但她一开始感到害怕真是糟透了，我非常讨厌这种感觉。
29,This is the stupidest timeline and I hate it dot com.,这是最愚蠢的时间线，我讨厌它.com。,这是最愚蠢的时间轴，我讨厌它 dot com。
32,But he can't pardon himself out of state prison.,但他无法通过赦免自己逃脱州监狱。,但他无法通过赦免来逃避州监狱的刑罚。
33,It takes the state's governor.,这需要州长。,这需要州长的参与。
43,"We suggest that context-dependent communication is a situated multilayered phenomenon, crucially influenced by environment properties such as distribution of contexts.",我们建议，情境依赖的交流是一种多层次的现象，受到环境特性（如情境分布）的重要影响。,我们认为，情境依赖的交流是一种具有多层次特征的现象，受到环境特性（如情境分布）的重要影响。
47,Communities gain the knowledge to embed and support their own development.,社区获得了嵌入和支持自身发展的知识。,社区获得了将发展嵌入并支持自身发展的知识。
50,Thousands of trees have been established and farmers have seen increased crop yields through a range of interventions from support with equipment purchases to training.,成千上万的树木已经种植，农民通过一系列干预措施（从设备采购支持到培训）看到作物产量增加。,已经成活了成千上万的树木，农民通过一系列干预措施（从设备采购支持到培训）看到了作物产量的增加。
53,The UPS store near me won't allow me to write a label or write on the box.,我附近的UPS商店不允许我写标签或在箱子上写字。,我附近的UPS商店不让我在标签或箱子上写字。
55,They won't allow me to tell them the address it's going to and who is shipping it.,他们不允许我告诉他们它要寄去的地址和谁在寄。,他们不允许我告诉他们寄送地址和寄件人信息。
59,"It was an outrage, like a symbolic Jan 6 anti-democratic festivus of lies & grievance, self-destructively hosted by American media.",这是一场公愤，就像一个象征性的1月6日反民主的谎言和不满节日，由美国媒体自我毁灭地举办。,这是一场令人震惊的事件，象征性的1月6日反民主谎言和不满的“Festivus”，由美国媒体以自我毁灭式的方式举办。
61,Licht AGREED to an all Republican audience!,Licht同意了全共和党观众！,莱希特同意面对共和党观众发言！
64,The ratings--seeking delusional irresponsibility of it all.,这一切都是追求收视率的妄想和不负责任。,这一切都是为了收视率而表现出的荒唐不负责任。
66,"I have a very drafty basement, which essentially means I can get a lot of rodents taking refuge.",我的地下室有很多缝隙，这基本上意味着会有很多啮齿动物来避难。,我的地下室非常不密封，这基本上意味着会有很多啮齿动物在这里栖息。
69,"I finally got fed up with this routine last night, cleaned all the traps of peanut butter, and superglued a pistachio to them.",昨晚我终于受够了这种日常，把所有捕鼠器上的花生酱清理掉，并用强力胶把开心果粘在上面。,昨晚我终于对这种情况感到厌烦，把所有捕鼠器上的花生酱清理掉，并用强力胶把一个开心果粘在上面。
71,"(fwiw, I've tried nearly every ""humane"" trap on the market with very little success.",仅供参考，我几乎尝试了市场上所有“人道”的捕鼠器，但成功率很低。,仅供参考，我几乎尝试了市场上所有「人道」的陷阱，但效果不佳。
73,I'm tired of conservative parties and governments wrapping themselves in the brand of pro-business.,我厌倦了保守党派和政府以亲商业的名义包装自己。,我厌倦了保守党派和政府打着亲商的旗号包装自己。
74,"They aren't, at least not in Alberta.",他们不是，至少在阿尔伯塔省不是。,他们不是。至少在阿尔伯塔省是这样。
75,Sure they cut business taxes.,当然，他们削减了营业税。,他们确实削减了企业税。
78,"Discovered the hard way that in 2023, local TV station web sites are the absolute worst experience on the internet.",在2023年，我通过惨痛的教训发现，本地电视台的网站是互联网上最糟糕的体验。,在二〇二三年，我发现本地电视台的网站是互联网上最糟糕的体验。
79,"Popups, auto-play videos, animations, popovers, and ads, ads, ads.",弹出窗口、自动播放视频、动画、弹出层和广告、广告、广告。,弹出窗口、自动播放视频、动画、弹出窗口和广告泛滥。
81,"This is true even now that goatse.cx is gone, though it would be a close race to the bottom between goatse and, say, khou.com, where I tried to watch a video the Wendy sent me.",即使现在goatse.cx已经不存在了，这仍然是事实，尽管goatse和比如khou.com之间的竞争可能会非常激烈，我曾尝试在khou.com上观看Wendy发给我的视频。,即使现在goatse.cx已经不存在了，这仍然是事实，尽管goatse和比如说khou.com之间可能会有一场激烈的竞争，我曾尝试在khou.com上观看Wendy发给我的视频。
84,"""I'm just dropping him off in Glasgow,"" I attempted to explain, gesturing at my traveling companion.",“我只是把他送到格拉斯哥，”我试图解释，指着我的旅伴。,“我只是送他到格拉斯哥，”我试图解释，同时用手指了指我的旅伴。
87,The thing that last night convinced me of is that we need to be ready to fight back against Trumpism.,昨晚让我确信的一件事是，我们需要准备好反击特朗普主义。,昨晚我确信，我们需要准备好反击特朗普主义。
94,Get some bumper stickers that are anti-Trump and plaster them all over.,弄一些反特朗普的保险杠贴纸到处贴上。,获取一些反特朗普的车贴并到处贴上。
95,Yell back at those who would try to talk over us.,对那些试图打断我们的人大声回应。,对那些试图压过我们说话的人大声反击。
99,So I rushed to get into my apt to avoid him but he still managed to catch up to me to chat.,所以我赶紧进公寓以避免见到他，但他还是设法追上我聊天。,所以我急忙进入我的公寓以躲避他，但他还是赶上来和我聊天。
102,I repeat. It is not socially acceptable to spread your covid mucus storm everywhere!!!,我再说一遍。到处传播你的新冠病毒粘液风暴是不可接受的行为！！！,我重申一下。到处传播你的新冠病毒粘液是社会上不可接受的行为！
104,Abe keeps his sorrows hidden and laughs easily while Tom is not afraid to cry but is less amused by rude humor.,阿贝把他的悲伤藏起来，容易发笑，而汤姆不怕哭泣，但对粗鲁的幽默不太感兴趣。,阿贝把他的悲伤藏起来，笑得很轻松，而汤姆不怕哭泣，但对粗鲁的幽默不太喜欢。
106,Mio knows that sorrow is life's constant companion.,美绪知道悲伤是生活的常伴。,Mio知道悲伤总是伴随着生活。
108,#CNN needs to just close down.,CNN需要关闭。,CNN应该立即关闭。
109,Yesterday's fiasco with #MangoMoron was an outrageous fiasco.,昨天与#MangoMoron的事件是一个令人愤慨的惨败。,昨天的#MangoMoron事件是一个令人震惊的惨败。
115,"Geeky student Arnie Cunningham falls for Christine, a rusty 1958 Plymouth Fury, and becomes obsessed with restoring the classic automobile to her former glory.",书呆子学生阿尼·坎宁安爱上了一辆生锈的1958年普利茅斯狂怒，并痴迷于将这辆经典汽车恢复到昔日的辉煌。,书呆子学生阿尼·坎宁安爱上了一辆1958年普利茅斯Fury，并痴迷于将这辆经典汽车恢复到昔日的辉煌。
116,"As the car changes, so does Arnie, whose newfound confidence turns to arrogance behind the wheel of his exotic beauty.",随着汽车的变化，阿尼也在改变，他的新信心在驾驶他那辆异国情调的美丽汽车时变成了傲慢。,随着汽车的变化，阿尼也随之改变，他的新信心在驾驶他那辆美丽的异国汽车时变成了傲慢。
123,One of the craziest parts about my neighbors turning against me is thinking about how much effort it takes to be hostile.,关于我的邻居反对我这件事，最疯狂的部分之一就是想到他们需要花费多少精力才能表现出敌意。,关于我的邻居反对我这件事，最不可思议的部分之一就是想到他们需要付出多少努力才能表现出敌意。
126,It hurts but you gotta do you.,虽然很痛，但你还是要做自己。,虽然很痛，但你还是得照顾好自己。
127,But at this point the open hostility and violence is getting worse.,但在这一点上，公开的敌意和暴力正在恶化。,但目前公开的敌意和暴力正在恶化。
128,That takes effort.,那需要努力。,这需要付出努力。
132,They had keys to my apartment for 6+ years.,他们有我公寓的钥匙超过6年。,他们持有我公寓的钥匙长达6年多。
134,I am aware of your hatred of Organa.,我知道你对欧加纳的憎恨。,我知道你讨厌Organa。
142,The Last of Us is an easy and canonical example of dad-ification.,《最后生还者》是父亲化的一个简单且经典的例子。,《最后生还者》是一个典型的“父亲角色化”例子。
