index,original,zero_shot_translation,reference_translation
1,助成金ツアー・県民割旅行ならクラブツーリズム！,"Club Tourism! Subsidy tour, prefectural discount travel.",Subsidized Tours - Club Tourism for Domestic Tourism Campaign!
2,各都道府県毎の助成を活用したツアーをご紹介。,"Here is the translation from Japanese to English:

We introduce tour packages that utilize subsidies from each prefecture.",We provide tours that take advantage of subsidies in each prefecture.
6,【比較表】薬剤師転職サイト - 一覧比較表でおすすめ紹介,[Comparison Table] Pharmacist Job Posting Sites - Recommended Introduction with Comparison Table,【Comparison Table】Pharmacist Job Search Websites - Recommendations With Comparison Table
7,《2022年最新版》薬剤師転職サイトランキング。,The latest 2022 ranking of pharmacist job search websites.,《Latest 2022 Version》Pharmacist Job Search Website Rankings.
14,初めてのフリーランスで不安な集客や確定申告サポートもご用意しています。,We offer support for anxious freelancers with client acquisition and tax filing for the first time.,We also provide support for first-time freelancers who are worried about attracting customers or filing a tax return.
16,ルミクス脱毛のサロン紹介サイト - 予約数ランキングTOP5,Lumix Hair Removal Salon Introduction Site - Top 5 Reservation Ranking,LUMIX Hair Removal Salon Referral Site - TOP 5 Ranking by Reservations
18,早い 短期間 痛くない 熱くないSHR方式のルミクス脱毛サロン予約サイト,"Quick, short-term, painless, non-heating SHR method Lumix hair removal salon reservation site.","Reservation sites for salons that use the fast, short, painless, heatless SHR method LUMIX hair removal"
19,月々1760円からできる歯科矯正 - 【公式】ウィスマイル矯正,"Orthodontic treatment starting from 1,760 yen per month - [Official] Wismile Orthodontics",Teeth Straightening From ￥1760/month - 【Official】We Smile Straightening
20,【1760円から】低価格ではじめるならウィスマイル矯正。,"Orthodontic treatment with Wismile starts at a low price of 1,760 yen.",【Starting at ￥1760】We Smile teeth-straightening for an affordable start
23,1650円のお試しコース受付中。,$16.50 trial course now available.,Now offering ￥1650 trial course.
25,WEBから24時間予約受付中・格安マウスピース矯正・調整料0円。,"24-hour online reservation available, affordable mouthpiece orthodontics, adjustment fee free.","24 hour online reservations available, low-priced aligner teeth-straightening, ￥0 adjustments."
29,不動産のことなら連合隊 - 北見不動産連合隊,Unified real estate team - Kitami real estate unified team.,For Real Estate Matters Use the Association - Kitami Real Estate Association
31,賃貸アパート、マンション、一戸建て。,"Rental apartment, condominium, detached house.","Rental apartments, apartment complexes, detached houses."
33,地元に密着・写真は最大30枚・無料の物件査定も実施中。,"Local area-focused, up to 30 photos, and free property appraisals are currently available.","Local-oriented, up to 30 pictures, also currently offering free property appraisals."
36,お急ぎ便が使い放題。,Same-day delivery is available unlimited.,Unlimited express delivery.
40,ポイントが貯まる・スマホアプリあり・数億種の品揃え。,"Point accumulation, smartphone app available, over hundreds of millions of product selection.","Earn points, smartphone app available, hundreds of millions of products."
45,あの人気漫画を今こそ一気読み。,"That popular manga, now is the time to read it all at once.",Now is the time to read that popular manga in one go.
46,全作品試し読みアリ・買うよりお得。,"All works available for sample reading, more affordable than buying.","Free trial available for all titles, better value than buying."
50,クチコミ情報も満載です。,Word-of-mouth information is also full.,Also full of informative reviews.
51,タイムセールや限定プランも。,Time sale and limited plans.,Limited time sale and exclusive plans also available.
52,自宅で簡単予約・ビジネスホテルが充実・プラン充実・会員登録でポイント貯まる。,"Easy reservation at home, well-equipped business hotels, abundant plans, and accumulate points with membership registration.","Reserve easily from home, wide range of business hotels, wide variety of plans, earn points by registering to become a member."
54,端子台 貫通をこの価格で買える通販モノタロウ。,Terminal block through-hole can be purchased at the online store Monotaro at this price.,You can buy feed-through terminal blocks at these prices through the Monotaro site.
56,端子台 貫通の通販。,Terminal block through-type online shopping.,Online shopping for feed-through terminal blocks.
59,紀伊御坊駅の格安ホテル - 【じゃらん】公式サイト,Affordable hotels near Kii-Gobo Station - Official site of [Jalan],Budget Hotels at Kii-Gobo Station 【Jalan】Official Site
