index,original,zero_shot_translation,improved_translation
1,助成金ツアー・県民割旅行ならクラブツーリズム！,Club Tourism for subsidized tours and prefectural resident discount travel!,Club Tourism for subsidized tours and travel discounts for prefectural resident discount programs!
2,各都道府県毎の助成を活用したツアーをご紹介。,Introducing tours that utilize subsidies from each prefecture.,Discover tours benefiting from subsidies available in each prefecture.
6,【比較表】薬剤師転職サイト - 一覧比較表でおすすめ紹介,Pharmacist Job Change Sites Comparison Table - Recommended Introduction with a List Comparison Table,Pharmacist Job Search Sites Comparison Table - Recommended Introduction
7,《2022年最新版》薬剤師転職サイトランキング。,(2022 Latest Edition) Pharmacist Job Change/転職 Site Ranking.,(2022 Latest Edition) Pharmacist Job-Change Site Ranking.
14,初めてのフリーランスで不安な集客や確定申告サポートもご用意しています。,"We offer support for attracting clients and filing taxes, which can be anxieties for first-time freelancers.","We offer support for client acquisition and tax filing, addressing common concerns for first-time freelancers."
16,ルミクス脱毛のサロン紹介サイト - 予約数ランキングTOP5,Lumix hair removal salon introduction site - Top 5 in booking ranking,Website for lumix hair removal salons - Top 5 in booking ranking
18,早い 短期間 痛くない 熱くないSHR方式のルミクス脱毛サロン予約サイト,"LUMIX hair removal salon reservation site using the fast, short-term, painless, and not-hot SHR method.","Lumix hair removal salon reservation site using the fast, painless, and gentle SHR method."
19,月々1760円からできる歯科矯正 - 【公式】ウィスマイル矯正,"Orthodontics from ¥1,760 per month - [Official] Wismile Orthodontics","Affordable teeth straightening: From JPY 1,760 per month - [Official] Wismile Orthodontics"
20,【1760円から】低価格ではじめるならウィスマイル矯正。,Starting from ¥1760 - Wismile Orthodontics if you're looking to start at a low price.,Start Wismile orthodontics from just JPY 1760 for a low-cost option.
23,1650円のお試しコース受付中。,Trial course available for 1650 yen.,We're offering a trial course for 1650 yen.
25,WEBから24時間予約受付中・格安マウスピース矯正・調整料0円。,24-hour online booking available. Affordable aligner treatment. No adjustment fees.,24-hour online booking available; affordable clear aligners; no adjustment fees.
29,不動産のことなら連合隊 - 北見不動産連合隊,"For real estate matters, it's Rengoutai - Kitami Real Estate Rengoutai.","For all your real estate needs, turn to Rengoutai – Kitami Real Estate Rengoutai."
