index,reference,zero_shot_translation,single_agent_translation,improved_translation,bleu_zero_shot,bleu_single_agent,bleu_improved,meteor_zero_shot,meteor_single_agent,meteor_improved,bleurt_zero_shot,bleurt_single_agent,bleurt_improved,comet_zero_shot,comet_single_agent,comet_improved
0,Diego Cocca will become the new national team trainer for Mexico,Diego Cocca will be the new head coach of Mexico.,Diego Cocca will be the new national coach of Mexico.,Diego Cocca will be the new national coach of Mexico.,0.1228,0.1631,0.1631,0.444,0.5403,0.5403,0.7948,0.8363,0.8363,0.8885,0.9224,0.9224
3,"Franko Stein (Environmental Services, left) and Friedhelm Ringe (Nature and Biodiversity Conservation Union) place the plant signs in the beds in the pedestrian zone.","Franko Stein (FD Environment, left) and Friedhelm Ringe (Nabu) are placing the plant signs in the flowerbeds of the pedestrian zone.","Franko Stein (FD environment, left) and Friedhelm Ringe (NABU, Naturschutzbund Deutschland) are placing the plant signs in the flowerbeds of the pedestrian zone.","Franko Stein (FD Environment, left) and Friedhelm Ringe (Nabu) are placing plant labels in the flowerbeds of the pedestrian zone.",0.433,0.4329,0.3378,0.5849,0.58,0.4595,0.5967,0.6193,0.5806,0.8111,0.7597,0.8001
6,"Explanatory plaques about the plants are put in place to ensure that the endeavor gains enough momentum to impact private gardens, instead of remaining a campaign limited to environmental activists and the municipal specialized environmental services. There are approximately 50 signs to date. This way, passers-by can learn about what beautiful plants are currently in bloom. The hope is for hobby gardeners to specifically plant them at home.","To ensure that the undertaking doesn't remain solely an action by conservationists and the city's environmental department, but rather reaches a wide audience, extending even into private gardens, explanatory signs are repeatedly placed next to the plants. There are about 50 signs so far. Passersby should be able to find out in this way what is currently blooming so beautifully here. The hope is that amateur gardeners will specifically replant at home.","To ensure that this initiative extends beyond conservationists and the city's environmental department and reaches a wide audience, even into private gardens, explanatory signs are repeatedly placed next to the plants; so far, there are about 50 signs. In this way, passersby can learn what is currently blooming so beautifully, with the hope that amateur gardeners will be inspired to replant these species at home.","To ensure that this project extends beyond the efforts of conservationists and the city's environmental department and resonates widely, even reaching private gardens, explanatory signs are repeatedly placed near the plants. There are approximately 50 signs so far, allowing passersby to learn about the beautiful blossoms. The hope is that amateur gardeners will be inspired to selectively replant at home.",0.0933,0.039,0.1592,0.3583,0.3464,0.3793,0.6556,0.6799,0.6825,0.8078,0.8328,0.8202
7,Common hazel already came into season in the first week of January,The hazel catkins already started releasing pollen in the first week of January.,The wild hazel season already began in the first week of January.,The wild hazelnut season already started in the first week of January.,0.376,0.4212,0.409,0.5557,0.625,0.625,0.4715,0.7277,0.6324,0.684,0.8718,0.8451
8,"Recently, shrubs such as winter honeysuckle and arrowwood have been placed in the beds in the pedestrian zone. They have been in the soil of the containers found on Bergedorer Straße for the past year, and although they do not yet have leaves, the first delicate white and pink blossoms have appeared, and were recently furnished with a new sign. ""The winter honeysuckle is a very broadly bushy shrub and may grow up to two meters tall and three meters wide,"" among other information, can be found on the sign, which has been put in a suitable location for reading.","Of more recent date are shrubs like fragrant honeysuckle and winter snowball in the pedestrian zone's flowerbeds. They have been in the soil of the containers on Bergedorer Straße for a year now, are showing their first delicate blossoms in white and pink without leaves, and have recently been provided with additional signs. ""The fragrant honeysuckle is a very broad bush and can grow to between two meters high and three meters wide,"" can be read there, along with further information about the suitable location.","Shrubs like winter honeysuckle and winter snowball have recently been planted in the pedestrian zone's flowerbeds; they have been in the containers on Bergedorer Straße for a year now, are showing their first delicate, leafless blossoms in white and pink, and have recently been marked with additional signs. ""The winter honeysuckle is a very broad bush and can grow to between two meters high and three meters wide,"" can be read there, along with further information about the suitable location.","Of more recent origin are shrubs such as winter honeysuckle and winter snowball in the pedestrian zone's flowerbeds. Planted a year ago in the containers on Bergedorer Straße, they are now showing their first delicate white and pink blossoms on bare branches and have recently been labeled with additional signs. One sign reads, ""Winter honeysuckle is a very wide shrub and can grow to between two meters tall and three meters wide,"" followed by further information about suitable locations.",0.2462,0.2212,0.2316,0.4282,0.4099,0.4438,0.5629,0.616,0.5389,0.7941,0.8123,0.7965
9,"Friedhelm Ringe emphasizes that not only the plants in the beds are now in bloom. Common hazel came into season during the first week of January. It is particularly abundantly in bloom on the steep hill on Richtweg, on Gutenbergstraße, Wilhelm-Holert-Straße, Fahrendofer Weg, and in numerous hedgerows.","Friedhelm Ringe emphasizes that it is not only the bedding plants that are now showing flowers. The hazel catkins were already in season in the first week of January. They are flowering particularly abundantly on Richtweg at the incline, in Gutenbergstrasse, Wilhelm-Holert-Strasse, Fahrendofer Weg and many Knicks (hedgerows/field boundaries).","Friedhelm Ringe emphasizes that it is not only the bedding plants that are now showing flowers; hazel catkins had already started appearing in the first week of January and are flowering particularly abundantly on the incline of Richtweg, in Gutenbergstraße, Wilhelm-Holert-Straße, Fahrendofer Weg, and along many Knicks (hedgerows).","Friedhelm Ringe emphasizes that it is not only the bedding plants that are now showing flowers. The hazel catkins were already in season in the first week of January, flowering particularly abundantly on Richtweg at the incline, in Gutenbergstrasse, Wilhelm-Holert-Strasse, Fahrendofer Weg, and along many Knicks (hedgerows/field boundaries).",0.2085,0.2991,0.2305,0.5547,0.5965,0.5965,0.5863,0.5956,0.592,0.7336,0.7545,0.7443
12,"That is where three women meet for vigorous tap dancing at 3 pm on the dot at the ""Mandolin Motion Show Academy"" - unbelievably, their combined age is 277 years old, or should I say young!","Every Monday at 3 p.m., three ladies meet there at the ""Mandolin Motion Show Academy"" for a lively tap dance – together they are an incredible 277 years old, pardon, young!","Every Monday at 3 p.m., three ladies meet at the ""Mandolin Motion Show Academy"" for a lively tap dance—together they are an incredible 277 years old, pardon, young!","Every Monday at 3 p.m., three ladies meet at the ""Mandolin Motion Show Academy"" for a lively tap dance – together they are an incredible 277 years old, or rather, young!",0.2653,0.2628,0.2931,0.4539,0.4261,0.4848,0.6958,0.6956,0.6969,0.7702,0.7735,0.7951
13,"The oldest of them is Ernestine Stauchner, who recently celebrated her 102nd birthday.",The oldest of them is Ernestine Stauchner; she recently celebrated her 102nd birthday.,"The oldest of them, Ernestine Stauchner, recently celebrated her 102nd birthday.","The oldest of them is Ernestine Stauchner, who recently celebrated her 102nd birthday.",0.7242,0.5809,1.0,0.8436,0.7707,0.9998,0.8972,0.8826,0.9584,0.9409,0.9281,0.961
14,"Monday is THE highlight of the week for the native Munichite (15 January 1921) from Schwanthalerhöhe. ""Dancing and tap dancing is my life, I can't imagine it without them.""","For the Munich native (born January 15, 1921) from the Schwanthaler Höhe district, Monday is THE highlight of the week. ""Dancing and tap dancing is my life, I can't imagine life without it.""","Born in Munich on January 15, 1921, and a resident of the Schwanthaler Höhe district, Monday is THE highlight of the week for her. ""Dancing and tap-dancing *is* my life; I can't imagine living without it.""","For the Munich native (born January 15, 1921) from the Schwanthaler Höhe district, Monday is THE highlight of the week. ""Dancing and tap dancing are my life; I can't imagine life without them.""",0.5072,0.2879,0.4062,0.7395,0.4717,0.6519,0.7978,0.7322,0.7964,0.8673,0.8221,0.8717
17,"At 79 years old, Elfriede Widmann is the spring chicken among these tap dancing women. ""We simply have fun here with our dance teacher, Sissy Engl,"" she says.","At 79, Elfriede Widmann is something of the baby in the group of tap dancers. She says: ""We're just having fun here with our dance teacher Sissy Engl.""","At 79, Elfriede Widmann is the youngest of the tap dancers. She says, ""We're just having fun here with our dance teacher Sissy Engl.""","At 79 years old, Elfriede Widmann is like the baby of the tap-dancing group. She says, ""We're just having fun here with our dance teacher Sissy Engl.""",0.2607,0.2956,0.3828,0.4688,0.4755,0.5647,0.7133,0.7341,0.71,0.7834,0.8306,0.796
