index,reference,zero_shot_translation,improved_translation,single_agent_translation,bleu_zero_shot,bleu_improved,bleu_single_agent,meteor_zero_shot,meteor_improved,meteor_single_agent,bleurt_zero_shot,bleurt_improved,bleurt_single_agent,comet_zero_shot,comet_improved,comet_single_agent
6,"Competitions are individual while testing is by team, participants are athletes from teams of subjects of the Russian Federation, and men and women are placed together in age groups.","The competitions are individual with a team scoring, involving athletes from teams of the subjects of the Russian Federation, in one age group — men, women.","The competitions are individual with team scoring, involving athletes from teams representing the federal subjects of Russia, in a single age group for both men and women.","The competitions are individual with team scoring, involving athletes from teams representing regions of the Russian Federation, in the same age group: men and women.",0.2629,0.0698,0.2082,0.4573,0.3765,0.4003,0.6946,0.7222,0.7139,0.7591,0.747,0.7651
9,"There is no retesting of results for athletes who did not participate in the given competitions, and points for team testing are not counted.","The transfer of results for athletes who did not participate in these competitions is not conducted, and points for the team standings are not awarded.","The transfer of results for athletes who did not participate in these competitions is not conducted, and points for the team standings are not awarded.",Recalculation of results for athletes who did not participate in these competitions is not conducted and points are not awarded for the team score.,0.4353,0.4353,0.3869,0.6686,0.6686,0.6558,0.6911,0.6911,0.7247,0.8027,0.8027,0.8085
14,"In the relay race, athletes may only participate for the team of a single territory.","In relay races, athletes can compete only for a team from one territory.","In relay races, athletes can compete only for a team from one territory.","In relay races, athletes may compete only for a team representing a single territory.",0.0435,0.0435,0.238,0.2703,0.2703,0.556,0.7959,0.7959,0.8084,0.8751,0.8751,0.8889
23,"Official training is conducted in the competition arena on February 14 from 16:00 to 19:00. On competition days, it is conducted outside of competition times.","Official training at the competition venue on February 14 from 4:00 PM to 7:00 PM. On competition days, outside of competition times.","Official training at the competition venue on February 14 from 4:00 PM to 7:00 PM. On competition days, training is held outside of competition times.","Official training at the competition venue on February 14 from 16:00 to 19:00. On competition days, training occurs outside competition hours.",0.3767,0.3885,0.4599,0.6307,0.6446,0.6333,0.7016,0.7447,0.769,0.7355,0.8225,0.8394
26,SaI Koot will be located around the second bend near the section for shot-put.,Sai Koot will be located after the second turn next to the shot put sector.,Sai Koot will be located after the second turn next to the shot put sector.,Sai Kot will be located beyond the second turn next to the shot put area.,0.1956,0.1956,0.0833,0.6265,0.6265,0.5319,0.6903,0.6903,0.6971,0.7819,0.7819,0.7601
29,Participants are forbidden from exiting the competition area without the permission of a referee.,Participants leaving the competition area without the referee's permission is prohibited.,Participants are prohibited from leaving the competition area without the referee's permission.,It is prohibited for participants to leave the competition area without the judge's permission.,0.2872,0.3187,0.249,0.4908,0.5644,0.4206,0.8164,0.8722,0.8275,0.8699,0.8968,0.8487
35,The competitions for 60m run and 60m hurdles take place in 3 rounds. Qualification for the subsequent round is determined after ballots are submitted.,"In the 60 m sprint and 60 m hurdles, the competitions are held in 3 rounds, and advancement to the next round will be determined after the registration period ends.","In the 60 m sprint and 60 m hurdles, the competitions are held in 3 rounds, and advancement to the next round will be determined after the registration period ends.","In the 60m sprint and 60m hurdles, the competitions are held in 3 rounds, and advancement to the next round will be decided after the acceptance of applications ends.",0.0438,0.0438,0.0589,0.3247,0.3247,0.3012,0.7304,0.7304,0.7238,0.8329,0.8329,0.8204
39,"For jumps and javelin throws, qualifying competitions are held (if there are over 16 announced athletes), as are final competitions, which athletes must pass qualification to compete in.","In jumping and throwing events, qualifying (if more than 16 athletes are registered) and final competitions are held, and qualification is required to participate in the finals.","In jumping and throwing events, qualifying (if more than 16 athletes are entered) and final competitions are held, and qualification is required to participate in the finals.","In jumping and throwing events, qualifying competitions are held if more than 16 athletes are registered, followed by the finals, and qualification is required to participate in the finals.",0.0534,0.0534,0.1364,0.2151,0.2151,0.2444,0.7194,0.7213,0.7173,0.7947,0.7913,0.8001
57,The technical announcement of the chief panel of judges with the official team representatives will take place on February 14 at 18:00 in the conference hall of the Light-Athletic Football Complex CSKA.,The technical meeting of the GSK with official team representatives will take place on February 14 at 18:00 in the conference hall of the CSKA LFK arena.,The technical meeting of the State Sports Committee (GSK) with official team representatives will take place on February 14 at 18:00 in the conference hall of the CSKA LFK arena.,The GSK technical meeting with official team representatives will take place on 14 February at 18:00 in the conference hall of the CSKA LFK Manege.,0.5483,0.5513,0.4049,0.6913,0.6848,0.6253,0.6302,0.6614,0.6026,0.723,0.759,0.715
59,"Traditionally, the July issue is submitted while the Moscow Film Festival is underway, which is, of course, quite tragic — having to proofread columns when your heart is yearning for Chabrol.","The July issue is traditionally submitted during the Moscow Film Festival, and this is, of course, very sad: proofreading pages when the soul longs for Chabrol.","The July issue is traditionally submitted during the Moscow Film Festival, and this is, of course, very sad, proofreading pages when the soul yearns to experience Chabrol's films.","The July issue is traditionally submitted during the Moscow Film Festival, and this is, of course, very sad; proofreading pages while eager to watch Chabrol's films.",0.235,0.219,0.2128,0.4606,0.3923,0.4162,0.6709,0.6323,0.6555,0.6904,0.6801,0.7121
62,"In addition, in this issue we are publishing the first part of a fairly detailed guide to the work of Alfred Hitchcock. And here there's no need to advertise anything: it doesn't take a film buff to know the creator of Suspicion and Rope. Despite his outstanding credentials, our team — Tatyana Alishicheva, Boris Gleyzerov, Anna Golovnya, Nick De Semlin, Dan Jolie, Tamara Dondurey, Nikolai Karayev, Denis Korsakov, Maria Kuvshinova, Ivan Kulikov, Will Lawrence, Sergei Mezenov, Sergei Natapov, Ian Nathan, Kim Newman, Zaira Ozova, Nev Pierce, Aleksei Prostyakov, Serafima Skibyuk, Adam Smith, Mur Soboleva, Vasily Stepanov, Aleksandr Strelkov, Ollie Richards, Oleg Tischenkov, Alena Logunova, Chris Hewitt, Olga Ahakina, and London FBI agent Eveline Solt — suspect him of spying for the Russians and have decided to catch him, whatever it takes.","Here's the translation of the provided text:

""Additionally, this time we are publishing the first part of a rather detailed guide on the works of Alfred Hitchcock, and there is certainly no need for any special promotion here. It's obvious to everyone that the author of 'Suspicion' and 'Rope' is our Tatiana Aleshicheva, Boris Gleizerov, Anna Golovnya, Nick De Semlyen, Dan Jolin, Tamara Dondurey, Nikolai Karaev, Denis Korsakov, Maria Kuvshinova, Ivan Kulikov, Will Lawrence, Sergey Mezenov, Sergey Natapov, Ian Nathan, Kim Newman, Zaira Ozova, Nev Pierce, Alexey Prostyakov, Serafima Skibyuk, Adam Smith, Mur Soboleva, Vasily Stepanov, Alexander Strelkov, Olly Richards, Oleg Tishchenkov, Alena Logunova, Chris Hewitt, Olga Shakina. Despite her brilliant track record, Evelyn Salt, a London-based CIA agent, was suspected of espionage in favor of the Russians and they decided to catch her at all costs.""","Additionally, this time we are publishing the first part of a rather detailed guide on the works of Alfred Hitchcock, which certainly doesn't need any special promotion, as it's obvious to everyone that the author of 'Suspicion' and 'Rope' is Alfred Hitchcock, not our Tatiana Aleshicheva, Boris Gleizerov, Anna Golovnya, Nick De Semlyen, Dan Jolin, Tamara Dondurey, Nikolai Karaev, Denis Korsakov, Maria Kuvshinova, Ivan Kulikov, Will Lawrence, Sergey Mezenov, Sergey Natapov, Ian Nathan, Kim Newman, Zaira Ozova, Nev Pierce, Alexey Prostyakov, Serafima Skibyuk, Adam Smith, Mur Soboleva, Vasily Stepanov, Alexander Strelkov, Olly Richards, Oleg Tishchenkov, Alena Logunova, Chris Hewitt, Olga Shakina, and despite her brilliant track record, CIA agent Evelyn Salt was suspected of espionage in favor of the Russians, and they decided to catch her at all costs.","Additionally, this time we are publishing the first part of a rather detailed guide on the works of Alfred Hitchcock, and there's no need for any special promotion since it's clear that contributors like Tatiana Aleshicheva, Boris Gleizerov, Anna Golovnya, Nick De Semlyen, Dan Jolin, Tamara Dondurey, Nikolai Karaev, Denis Korsakov, Maria Kuvshinova, Ivan Kulikov, Will Lawrence, Sergey Mezenov, Sergey Natapov, Ian Nathan, Kim Newman, Zaira Ozova, Nev Pierce, Alexey Prostyakov, Serafima Skibyuk, Adam Smith, Mur Soboleva, Vasily Stepanov, Alexander Strelkov, Olly Richards, Oleg Tishchenkov, Alena Logunova, Chris Hewitt, and Olga Shakina have made it comprehensive. Despite her brilliant track record, Evelyn Salt, a CIA agent, was suspected of espionage in favor of the Russians, and they decided to catch her at all costs.",0.3966,0.4127,0.4199,0.5866,0.5777,0.5904,0.5747,0.5409,0.545,0.7693,0.75,0.7815
63,"After being backed into a corner, she dresses in the black garb we're all familiar with and goes off to search out the truth.","Cornered, she will dye her hair the familiar black and set out to find the truth herself.","Cornered, she will change into the familiar black and set out to find the truth herself.","Cornered, she will transform into the familiar black and set out to find the truth herself.",0.0257,0.0258,0.0258,0.1931,0.2155,0.2155,0.5215,0.6134,0.5816,0.6139,0.6464,0.6073
66,"When Doestoevsky said ""Beauty will save the world,"" this is what he meant.",Something like this is how beauty should save the world.,This is roughly how beauty should save the world.,This is roughly how beauty is supposed to save the world.,0.0712,0.0589,0.0631,0.2953,0.2976,0.2466,0.5599,0.5294,0.5831,0.6183,0.5969,0.5996
67,"Her it is: our dear old world of The Fifth Element, blown apart and then restored, which made Milla Jovovich into the most fabulous woman in the universe.","Here he is, the one who blew up and fixed the world with ""The Fifth Element"" and made Milla Jovovich the most beautiful woman in the universe.","Here he is, dear and familiar, who transformed the world with ""The Fifth Element"" and made Milla Jovovich the most beautiful woman in the universe.","Here he is, the one who revolutionized the world with ""The Fifth Element"" and made Milla Jovovich the most beautiful woman in the universe.",0.2054,0.2112,0.2048,0.4296,0.4583,0.4342,0.6115,0.5569,0.6147,0.7341,0.6877,0.7039
70,"It's best not to recall what Besson did in the 13 years between ""Element"" and ""Adèle.""","What Besson did during the 13 years between ""The Fifth Element"" and ""Adèle..."" is something I don't want to remember.","Recalling what Besson did during the 13 years between ""Element..."" and ""Adèle..."" is not something I want to do.","What Besson did during the 13 years between ""The Fifth Element"" and ""The Extraordinary Adventures of Adèle Blanc-Sec"" is something I prefer not to recall.",0.2962,0.3394,0.2612,0.5247,0.6432,0.5728,0.7026,0.7307,0.6584,0.8136,0.8336,0.7621
71,"He kept busy, to put it lightly, but all of his busywork as a producer and scenarist, as well as his occasional appearances as a director, will be forgotten.","He, to put it mildly, was not idle, but all this scriptwriting and producing hustle and the rare, strained directorial appearances will be forgotten.","He, to put it mildly, was not idle, but all this scriptwriting and producing hustle and the rare, strained directorial appearances will be forgotten.","He was certainly busy, but all this hectic scriptwriting and producing activity and the rare, strained directorial efforts will be forgotten.",0.1832,0.1832,0.11,0.3546,0.3546,0.2719,0.6002,0.6002,0.6772,0.7372,0.7372,0.7217
72,"Meanwhile, ""Adèle"" is not likely to be.","But ""Adele..."" — hardly.","But ""Adele..."" — hardly.","But ""Adele…"" is unlikely.",0.0251,0.0251,0.0469,0.0,0.0,0.0746,0.5204,0.5204,0.6695,0.6024,0.6024,0.6991
73,"Watching it, it seems as if over the past 13 years we haven't been seeing Besson, but rather some kind of double.","When you watch this movie, it seems that for the past 13 years, it wasn't our Besson, but some kind of double.","When you watch this movie, it seems that for the past 13 years, it wasn't the Besson we know, but some sort of doppelgänger.","When you watch this movie, it seems that for 13 years leading up to now, it wasn't the Besson we know, but someone entirely different.",0.3107,0.1499,0.053,0.5114,0.4002,0.2386,0.6911,0.6759,0.6641,0.7327,0.7513,0.7109
76,The incredible drive of the film is contained in the fact that a surprise awaits you behind every turn and in every spoken response.,The whole incredible thrill here lies in the fact that surprises await you around every corner or line.,The whole incredible thrill here lies in the fact that surprises await you around every corner or remark.,The entire incredible excitement here lies in the fact that surprises await you around every corner or remark.,0.1132,0.1132,0.1132,0.3812,0.3812,0.3812,0.5774,0.6581,0.6508,0.735,0.7598,0.7775
77,And each one as just as wonderful as the last.,"""And all of them are pleasant.""","""And every single one of them is pleasant.""","""They are all unanimously pleasant.""",0.0228,0.0248,0.0191,0.0,0.051,0.0,0.5949,0.6525,0.5856,0.5318,0.567,0.5248
78,Whether it's a girl or a ghost,Either a girl or a vision,Either a girl or a vision,Whether a girl or perhaps a vision.,0.3641,0.3641,0.1562,0.5752,0.5752,0.6371,0.4513,0.4513,0.4802,0.5815,0.5815,0.6756
