index,original,zero_shot_translation,reference_translation
1,助成金ツアー・県民割旅行ならクラブツーリズム！,Subsidy tours and prefectural discount trips with Club Tourism!,Subsidized Tours - Club Tourism for Domestic Tourism Campaign!
2,各都道府県毎の助成を活用したツアーをご紹介。,We introduce tours that utilize subsidies from each prefecture.,We provide tours that take advantage of subsidies in each prefecture.
6,【比較表】薬剤師転職サイト - 一覧比較表でおすすめ紹介,[Comparison Table] Pharmacist Job Transfer Sites - Recommended Introductions in a List Comparison Table,【Comparison Table】Pharmacist Job Search Websites - Recommendations With Comparison Table
7,《2022年最新版》薬剤師転職サイトランキング。,"""2022 Latest Edition: Pharmacist Job Change Site Rankings.""",《Latest 2022 Version》Pharmacist Job Search Website Rankings.
14,初めてのフリーランスで不安な集客や確定申告サポートもご用意しています。,"We offer support for attracting clients and filing tax returns, addressing any concerns you may have as a first-time freelancer.",We also provide support for first-time freelancers who are worried about attracting customers or filing a tax return.
16,ルミクス脱毛のサロン紹介サイト - 予約数ランキングTOP5,Lumix Hair Removal Salon Introduction Site - Top 5 in Reservation Rankings,LUMIX Hair Removal Salon Referral Site - TOP 5 Ranking by Reservations
18,早い 短期間 痛くない 熱くないSHR方式のルミクス脱毛サロン予約サイト,"""Fast, short-term, painless, non-heating SHR method Lumix hair removal salon reservation site""","Reservation sites for salons that use the fast, short, painless, heatless SHR method LUMIX hair removal"
19,月々1760円からできる歯科矯正 - 【公式】ウィスマイル矯正,"Orthodontics starting at 1,760 yen per month - [Official] WeSmile Orthodontics",Teeth Straightening From ￥1760/month - 【Official】We Smile Straightening
20,【1760円から】低価格ではじめるならウィスマイル矯正。,"""Starting from 1,760 yen: If you're looking for an affordable option, choose WisSmile orthodontics.""",【Starting at ￥1760】We Smile teeth-straightening for an affordable start
23,1650円のお試しコース受付中。,"Now accepting applications for the 1,650 yen trial course.",Now offering ￥1650 trial course.
25,WEBから24時間予約受付中・格安マウスピース矯正・調整料0円。,Accepting reservations 24 hours a day online. Affordable mouthpiece orthodontics with a 0 yen adjustment fee.,"24 hour online reservations available, low-priced aligner teeth-straightening, ￥0 adjustments."
29,不動産のことなら連合隊 - 北見不動産連合隊,"""If it's about real estate, then the Allied Force - Kitami Real Estate Allied Force""",For Real Estate Matters Use the Association - Kitami Real Estate Association
31,賃貸アパート、マンション、一戸建て。,"Rental apartment, condominium, detached house.","Rental apartments, apartment complexes, detached houses."
33,地元に密着・写真は最大30枚・無料の物件査定も実施中。,"""Closely connected to the local area; up to 30 photos; free property assessments also available.""","Local-oriented, up to 30 pictures, also currently offering free property appraisals."
36,お急ぎ便が使い放題。,Unlimited use of express delivery.,Unlimited express delivery.
40,ポイントが貯まる・スマホアプリあり・数億種の品揃え。,"Points can be accumulated, a smartphone app is available, and there is a selection of hundreds of millions of products.","Earn points, smartphone app available, hundreds of millions of products."
45,あの人気漫画を今こそ一気読み。,Now is the time to binge-read that popular manga.,Now is the time to read that popular manga in one go.
46,全作品試し読みアリ・買うよりお得。,"""All works available for trial reading - more economical than buying.""","Free trial available for all titles, better value than buying."
50,クチコミ情報も満載です。,"The translation of the Japanese sentence ""クチコミ情報も満載です。"" to English is: ""It is also full of reviews.""",Also full of informative reviews.
51,タイムセールや限定プランも。,"""Time sales and exclusive plans, too.""",Limited time sale and exclusive plans also available.
52,自宅で簡単予約・ビジネスホテルが充実・プラン充実・会員登録でポイント貯まる。,Easily book from home - Business hotels are well-equipped - Comprehensive plans - Earn points by registering as a member.,"Reserve easily from home, wide range of business hotels, wide variety of plans, earn points by registering to become a member."
54,端子台 貫通をこの価格で買える通販モノタロウ。,"""MonotaRO, an online store where you can buy terminal blocks with through-holes at this price.""",You can buy feed-through terminal blocks at these prices through the Monotaro site.
56,端子台 貫通の通販。,Terminal block through-hole online shopping.,Online shopping for feed-through terminal blocks.
59,紀伊御坊駅の格安ホテル - 【じゃらん】公式サイト,Budget Hotels Near Kii-Gobo Station - [Jalan] Official Website,Budget Hotels at Kii-Gobo Station 【Jalan】Official Site
62,【紀伊御坊駅】のホテル・旅館を予約するならじゃらん。,"If you're looking to book hotels or inns near Kii-Gobo Station, try Jalan.",Jalan for hotel or ryokan reservations near【Kii-Gobo Station】
63,じゃらん限定・格安プランも充実。,Exclusive to Jalan: Affordable plans are also available.,Wide range of Jalan-exclusive and discount plans also available.
64,会員登録でポイント貯まる・当日予約OKの宿多数・お得なクーポン配布中。,"Earn points with membership registration, many accommodations available for same-day booking, and great coupons currently being distributed.","Earn points by registering as a member, many accommodations that accept same-day reservation, special coupons available."
65,入力簡単60秒で無料査定依頼 - 路線価・地価の相場を調べるなら,"""Request a free appraisal in just 60 seconds - If you're looking to check the standard land prices and market values.""",Request a free appraisal in 60 seconds with easy input - for market prices of roadside land and land prices
66,マンション・土地・一戸建ての無料売却査定が可能。,"Free sale assessments are available for apartments, land, and single-family homes.","We can appraise apartment buildings, land, and detached houses for free."
67,エリアから価格相場の把握ができます。,"""You can grasp the price range from the area.""",You can grasp average market prices by area.
68,不動産売却のお悩みはプロが解決！,"""Real estate sale concerns? Let the professionals solve them!""",Professionals will solve your real estate sales concerns!
71,マンションの売却・査定・最適な売却プランをご提案・売主様へ安心サポート。,"Sale and appraisal of apartments, proposal of the optimal sale plan, and reliable support for sellers.","We offer plan proposals for selling apartment buildings, appraisals, optimal sale, and reliable support for sellers."
75,ダイキン エアコン お客様 センター見つけましょう。,Let's find the Daikin Air Conditioner Customer Center.,Find a Daikin Customer Center.
78,来場予約キャンペーン実施中 - 都市型狭小3階建てモデルハウス,Ongoing Visit Reservation Campaign - Urban Narrow Three-Story Model House,Visitor reservation promotion underway - Urban-style compact three-story model house
83,ITツールを駆使し業務コストを削減し、リーズナブルな価格でのサービス提供を実現,Utilize IT tools to reduce operational costs and achieve the provision of services at a reasonable price.,Make full use of IT tools to reduce operation costs and provide services at a reasonable cost
92,どうしても今すぐお金が必要 - 【厳選3社】即日キャッシング,"""I really need money right now - [Carefully Selected 3 Companies] Same-Day Cash Advance""",Desperately Need Money Now - 【Three Hand-Picked Companies】 Same-Day Small Loans
98,レストラン予約するなら一休.com、お店の口コミも掲載。,"If you're making a restaurant reservation, try Ikkyu.com, which also features customer reviews.","For restaurant reservations, use ikyu.com, which also includes restaurant reviews."
102,幸せウエディングを叶える情報満載／結婚式準備はゼクシィ。,Information packed with everything you need for a happy wedding / Wedding preparations with Zexy.,Full of information to make your dream wedding a reality/Zexy for wedding ceremonies
107,ゴールドカードはメリットばかり！,"""The gold card has nothing but benefits!""",Gold cards are full of benefits!
110,自宅用のホームルーターをお探しの方必見！,A must-see for those looking for a home router!,Must see if you're looking for a residential-use home router!
112,置くだけで使えるWiFiも！,"""WiFi that you can use just by placing it!""",WiFi that can be used just by plugging in also featured!
115,蒲田イン ソーシャル- トリップアドバイザー,Kamata Inn Social - TripAdvisor,Business Hotel Social Kamata - Trip Advisor
119,ショートが似合うか不安な方でもしっかりとカウンセリングして似合わせをいっしょに考えます。,"Even if you're worried about whether a short hairstyle will suit you, we will provide thorough consultation and work together to find a style that suits you.","For those unsure if short hairstyles will work for them, we offer thorough counseling and work with you to find the right fit."
124,ロハコ限定、くらしになじむデザインが多数。,"LOHACO exclusive, numerous designs that blend into everyday life.",Many LOHACO exclusive designs which fit your daily life are available.
125,最短翌日お届け、PayPay決済対応。,"""Delivery as soon as the next day, PayPay payment supported.""","Next-day delivery at the earliest, PayPay payments supported."
127,都心へのマルチアクセスを叶えるタワーレジデンス。,A tower residence that provides multi-access to the city center.,Tower residences with multiple routes of access to central Tokyo.
128,4路線利用できる‘目黒’駅に誕生。,"Born at ""Meguro"" Station, where four lines are available.","Located near 'Meguro' Station, with access to 4 train lines."
129,野村不動産グループ×JR東日本グループ開発エリア【MEGURO MARC】の32階建タワー。,"The 32-story tower in the development area of [MEGURO MARC], a collaboration between the Nomura Real Estate Group and the JR East Group.",32-story Tower in the Nomura Real Estate Group x East Japan Railway Company development area 【MEGURO MARC】
132,続くから変われる、人生を変える英会話の力をあなたへ。,"""Because it continues, you can change; the power of English conversation that can change your life, to you.""","Things can change because they continue, delivering the life-changing power of English conversation to you."
136,クラウド電話を1内線200円から - 【公式】サテライトオフィス,Cloud phone from 200 yen per extension - [Official] Satellite Office,Cloud telephony starting from 200 yen per extension -【Official】Satellite Office
145,glovesdepoを探すなら、日本最大級通販ショップ楽天市場。,"If you're looking for glovesdepo, check out Rakuten Ichiba, Japan's largest online shopping site.","If you're looking for glovesdepo items, Rakuten Marketplace is one of the largest online shops in Japan."
148,目黒 恵比寿 五反田エリアで顧問弁護士をお探しなら目黒国際法律事務所。,"If you are looking for a legal advisor in the Meguro, Ebisu, or Gotanda area, Meguro International Law Office.","If you are looking for a legal advisor in the: Meguro, Ebisu, or Gotanda area, head to the Meguro International Law Office."
151,若手弁護士がフットワーク軽く迅速に対応します。,A young lawyer will respond promptly and with agility.,Our young lawyers respond promptly and proactively.
